"GAME_ID","INN_CT","BAT_HOME_ID","BALLS_CT","STRIKES_CT","PITCH_SEQ_TX","BAT_ID","EVENT_TX","EVENT_ID"
"SEA202007310",1,0,2,0,"BBX","semim001","8/F8XD",1
"SEA202007310",1,0,2,2,"CBCBT","laurr001","K",2
"SEA202007310",1,0,1,2,"CCBC","chapm001","K",3
"SEA202007310",1,1,0,2,"CCFS","crawj002","K",4
"SEA202007310",1,1,0,2,"CSFFT","lopet001","K",5
"SEA202007310",1,1,0,1,"FX","lewik001","4/P4D",6
"SEA202007310",2,0,1,1,"BFX","olsom001","3/L3D",7
"SEA202007310",2,0,0,2,"CFX","canhm001","9/F9",8
"SEA202007310",2,0,1,0,"BX","grosr001","8/F8",9
"SEA202007310",2,1,1,0,"BX","seagk001","13/G23-",10
"SEA202007310",2,1,2,2,"BBSFS","white005","K",11
"SEA202007310",2,1,0,1,"CX","nolaa002","9/L9LD",12
"SEA202007310",3,0,0,0,"X","piscs001","7/L78XD",13
"SEA202007310",3,0,2,2,"CBSBC","murps001","K",14
"SEA202007310",3,0,3,0,"BBBB","kempt001","W",15
"SEA202007310",3,0,0,0,">C","semim001","SB2",16
"SEA202007310",3,0,2,2,">C.BBFS","semim001","K",17
"SEA202007310",3,1,0,1,"CX","longs001","63/G4M",18
"SEA202007310",3,1,2,2,"LBFBX","moord002","9/F9D",19
"SEA202007310",3,1,3,2,"CBBSBX","gordd002","43/G34",20
"SEA202007310",4,0,2,1,"BBCX","laurr001","D8/L89XD+",21
"SEA202007310",4,0,1,2,"FBCX","chapm001","3/P1S",22
"SEA202007310",4,0,1,2,"BFCX","olsom001","9/F89D.2-3",23
"SEA202007310",4,0,0,1,"CX","canhm001","13/G6MS",24
"SEA202007310",4,1,3,2,"BCFBBFX","crawj002","S7/G56",25
"SEA202007310",4,1,0,0,"X","lopet001","9/F9L",26
"SEA202007310",4,1,2,2,"BC1BCFX","lewik001","S7/L78D.1-3",27
"SEA202007310",4,1,1,1,"CBX","seagk001","D9/G3.3-H;1-H",28
"SEA202007310",4,1,1,1,"BCX","white005","13/G1S",29
"SEA202007310",4,1,1,1,"CBX","nolaa002","S5/G56S.2-H(E5/TH)(NR)(UR)",30
"SEA202007310",4,1,3,2,"BCBSB>S","longs001","K",31
"SEA202007310",5,0,0,2,"CFC","grosr001","K",32
"SEA202007310",5,0,2,2,"BFFFBS","piscs001","K",33
"SEA202007310",5,0,3,2,"BSFBBS","murps001","K",34
"SEA202007310",5,1,0,0,"X","moord002","D9/L89XD+",35
"SEA202007310",5,1,2,0,"*BBX","gordd002","6/P6",36
"SEA202007310",5,1,1,1,"BFX","crawj002","S7/G56.2-3",37
"SEA202007310",5,1,2,2,"..1FBFFF*BFX","lopet001","FC1/G4M.3-H;1-2(E1/TH);B-1",38
"SEA202007310",5,1,3,2,"BC*BSFBFX","lewik001","S8/L8D+.2-H(UR);1-2",39
"SEA202007310",5,1,3,0,"BBBB","seagk001","W.2-3;1-2",40
"SEA202007310",5,1,1,2,".F*BFT","white005","K",41
"SEA202007310",5,1,0,1,"FX","nolaa002","7/F7D",42
"SEA202007310",6,0,1,0,"BX","kempt001","7/F7",43
"SEA202007310",6,0,3,2,"FBSBFBX","semim001","53/G56S",44
"SEA202007310",6,0,1,0,"BX","laurr001","53/G56S",45
"SEA202007310",6,1,1,2,".FBSX","longs001","S67/G6",46
"SEA202007310",6,1,1,2,"*B1CCB","moord002","WP.1-2",47
"SEA202007310",6,1,3,2,"*B1CCB.BC","moord002","K",48
"SEA202007310",6,1,3,2,"B*BBCCB","gordd002","W",49
"SEA202007310",6,1,2,2,"FBBFFX","crawj002","46(1)3/GDP/G4S",50
"SEA202007310",7,0,1,0,"BX","chapm001","8/L78XD",51
"SEA202007310",7,0,3,2,"CBBBFFC","olsom001","K",52
"SEA202007310",7,0,3,2,"BBBCCFFB","canhm001","W",53
"SEA202007310",7,0,0,1,"CX","grosr001","7/F7",54
"SEA202007310",7,1,1,0,"BX","lopet001","8/L8D",55
"SEA202007310",7,1,0,2,"CCFS","lewik001","K",56
"SEA202007310",7,1,3,1,"CBBBX","seagk001","8/F1S",57
"SEA202007310",8,0,1,1,".CBX","piscs001","S3/G34",58
"SEA202007310",8,0,3,2,"*B*BBCCB","murps001","W.1-2",59
"SEA202007310",8,0,1,1,"CBX","kempt001","146(1)/FO/G4D.2-3;B-1",60
"SEA202007310",8,0,1,1,"SBX","semim001","T9/L89XD.3-H;1-H",61
"SEA202007310",8,0,2,1,".B*BCX","laurr001","9/SF/F9D.3-H",62
"SEA202007310",8,0,1,0,"BX","chapm001","8/F8D+",63
"SEA202007310",8,1,1,1,".BFX","white005","D7/L7D+",64
"SEA202007310",8,1,2,2,"F.BBFFX","nolaa002","8/L8XD+.2-3",65
"SEA202007310",8,1,0,2,"CCS","longs001","K",66
"SEA202007310",8,1,0,0,"X","moord002","8/F89",67
"SEA202007310",9,0,0,1,".CX","olsom001","63/G4+",68
"SEA202007310",9,0,3,1,"FBBBB","canhm001","W",69
"SEA202007310",9,0,1,1,"SBX","grosr001","7/F78",70
"SEA202007310",9,0,1,2,"BFSX","piscs001","9/F89D",71
"SEA202008010",1,0,1,2,"FSB*S","semim001","K",1
"SEA202008010",1,0,2,2,"CBCFBX","chapm001","9/F89",2
"SEA202008010",1,0,2,2,"CBBSC","laurr001","K",3
"SEA202008010",1,1,2,0,"BBX","crawj002","8/F89D",4
"SEA202008010",1,1,1,0,"BX","nolaa002","53/G56",5
"SEA202008010",1,1,2,1,"CBBX","lewik001","S6/G4M",6
"SEA202008010",1,1,1,1,"BFX","seagk001","63/G34D+",7
"SEA202008010",2,0,2,0,"BBX","canhm001","63/G6D",8
"SEA202008010",2,0,1,2,"SCBT","olsom001","K",9
"SEA202008010",2,0,2,2,"FBFFFFBS","pindc001","K",10
"SEA202008010",2,1,0,0,"X","white005","53/G5",11
"SEA202008010",2,1,2,2,"CBBSFFFX","marmj001","8/F8",12
"SEA202008010",2,1,1,0,"BX","longs001","9/L89D",13
"SEA202008010",3,0,3,2,"BBSFFFBX","davik003","7/F7LSF/FL",14
"SEA202008010",3,0,1,2,"BCSX","piscs001","S5/G56",15
"SEA202008010",3,0,0,1,"CX","murps001","46(1)3/GDP/G6MD+",16
"SEA202008010",3,1,3,2,"BCBBFX","voged001","7/F7L",17
"SEA202008010",3,1,1,2,"CBF*S","moord002","K",18
"SEA202008010",3,1,1,1,"CBX","crawj002","S9/L89",19
"SEA202008010",3,1,0,0,"X","nolaa002","S8/L8.1-2",20
"SEA202008010",3,1,3,1,"*BBFB*B","lewik001","W.2-3;1-2",21
"SEA202008010",3,1,0,1,".SX","seagk001","S8/L8.3-H;2-H;1X3(85)",22
"SEA202008010",4,0,2,2,"BCTBS","semim001","K",23
"SEA202008010",4,0,1,2,"BCSS","chapm001","K",24
"SEA202008010",4,0,1,1,"BCX","laurr001","63/G6",25
"SEA202008010",4,1,1,2,"CSBFFFX","white005","53/G56",26
"SEA202008010",4,1,1,0,"BX","marmj001","5/P56",27
"SEA202008010",4,1,1,0,"BX","longs001","3/G3",28
"SEA202008010",5,0,3,0,"BBBB","canhm001","W",29
"SEA202008010",5,0,0,2,".SCS","olsom001","K",30
"SEA202008010",5,0,3,2,"STBB*BX","pindc001","6(1)3/GDP/G6M",31
"SEA202008010",5,1,2,2,"BFBFS","voged001","K",32
"SEA202008010",5,1,0,0,"X","moord002","8/L8XD+",33
"SEA202008010",5,1,0,2,"CCX","crawj002","E4/G4MD.B-1",34
"SEA202008010",5,1,0,0,">C","nolaa002","CS2(24)",35
"SEA202008010",6,0,0,0,"X","davik003","S8/L8D",36
"SEA202008010",6,0,0,2,"SFX","piscs001","S8/L8D.1-2",37
"SEA202008010",6,0,2,2,"BCC*BS","murps001","K",38
"SEA202008010",6,0,1,2,"SBFS","semim001","K",39
"SEA202008010",6,0,3,2,"BBCFF*B>X","chapm001","53/G5D",40
"SEA202008010",6,1,3,1,"CBBBX","nolaa002","5/P56",41
"SEA202008010",6,1,2,2,"BCTB*S","lewik001","K",42
"SEA202008010",6,1,3,0,"BBBX","seagk001","3/G3",43
"SEA202008010",7,0,2,2,".BCFBC","laurr001","K",44
"SEA202008010",7,0,0,1,"CX","canhm001","DGR/L9LD",45
"SEA202008010",7,0,2,2,"CBSBT","olsom001","K",46
"SEA202008010",7,0,1,2,"SBFX","pindc001","HR/L89XD.2-H",47
"SEA202008010",7,0,2,2,"CFBBS","davik003","K",48
"SEA202008010",7,1,1,2,".BCSFFX","white005","63/G6",49
"SEA202008010",7,1,1,2,"CSFBX","marmj001","63/G4MD",50
"SEA202008010",7,1,3,2,"SCBBBC","longs001","K",51
"SEA202008010",8,0,0,1,"SX","piscs001","9/L9D",52
"SEA202008010",8,0,3,1,"BBCBB","murps001","W",53
"SEA202008010",8,0,3,1,"B.SBBX","semim001","7/L7D",54
"SEA202008010",8,0,2,2,"BBCTS","chapm001","K",55
"SEA202008010",8,1,0,2,"...FCS","lopet001","K",56
"SEA202008010",8,1,0,0,"X","moord002","8/F8XD",57
"SEA202008010",8,1,2,1,"BBTX","crawj002","3/P3DF/FL",58
"SEA202008010",9,0,0,1,"..CX","laurr001","7/F78D",59
"SEA202008010",9,0,2,2,"CBBC*S","canhm001","K",60
"SEA202008010",9,0,3,0,"BBBB","olsom001","W",61
"SEA202008010",9,0,1,2,"CBC1B","pindc001","WP.1-2",62
"SEA202008010",9,0,3,2,"CBC1B.*BB","pindc001","W",63
"SEA202008010",9,0,0,0,".X","davik003","7/F7LD",64
"SEA202008010",9,1,1,2,".CBFX","nolaa002","S7/L78",65
"SEA202008010",9,1,0,1,".11C1B","lewik001","PB.1-2",66
"SEA202008010",9,1,2,2,".11C1B.BFS","lewik001","K",67
"SEA202008010",9,1,3,0,"VVVV","seagk001","IW",68
"SEA202008010",9,1,3,2,"FSFBB2>F*BB","white005","W.2-3;1-2",69
"SEA202008010",9,1,2,2,".SBSBFS","marmj001","K",70
"SEA202008010",9,1,2,2,"BSBSS","longs001","K",71
"SEA202008010",10,0,0,2,"....SSFX","piscs001","9/F89",72
"SEA202008010",10,0,2,1,".BCB.X","grosr001","DGR/L89XD+.2-H(UR)",73
"SEA202008010",10,0,1,1,"CBX","semim001","8/L8XD.2-3",74
"SEA202008010",10,0,1,2,"SS*BS","chapm001","K",75
"SEA202008010",10,1,0,2,"....CLX","lopet001","1/BP13",76
"SEA202008010",10,1,3,1,"BFBBX","moord002","5/P5D",77
"SEA202008010",10,1,1,2,"CBFF*S","crawj002","K",78
"SEA202008020",1,0,3,2,"CFBBFFFBFX","semim001","8/F89D",1
"SEA202008020",1,0,2,0,"BBX","laurr001","43/G4M+",2
"SEA202008020",1,0,2,1,"BBCX","olsom001","4/P9S",3
"SEA202008020",1,1,2,2,"CBCBH","crawj002","HP",4
"SEA202008020",1,1,1,0,"BX","moord002","54(1)/FO/G5S.B-1",5
"SEA202008020",1,1,2,2,"B1SBS>FS","lewik001","K",6
"SEA202008020",1,1,1,2,"FB1>F>B","voged001","SB2",7
"SEA202008020",1,1,3,2,"FB1>F>B.FBX","voged001","S8/L89D.2-H",8
"SEA202008020",1,1,3,2,"BBCBF>C","white005","K",9
"SEA202008020",2,0,0,1,"CX","chapm001","53/G5+",10
"SEA202008020",2,0,3,2,"BBCCBX","canhm001","D9/L9LD",11
"SEA202008020",2,0,3,1,"BCBBX","grosr001","31/G3D.2-3",12
"SEA202008020",2,0,2,2,"CBBFX","brows003","31/G3",13
"SEA202008020",2,1,1,2,"FBCS","longs001","K",14
"SEA202008020",2,1,0,0,"X","gordd002","7/F7D",15
"SEA202008020",2,1,1,0,"BX","smitm007","43/G4",16
"SEA202008020",3,0,2,2,"BBCCFC","allea001","K",17
"SEA202008020",3,0,2,2,"BFFBX","kempt001","S9/L89D",18
"SEA202008020",3,0,2,0,"1B1BX","semim001","9/F9",19
"SEA202008020",3,0,3,2,"1BBCBS>S","laurr001","K",20
"SEA202008020",3,1,0,1,"CX","hudsj002","8/F8XD",21
"SEA202008020",3,1,0,1,"CX","crawj002","8/L78XD",22
"SEA202008020",3,1,2,2,"BFBFFX","moord002","63/G6D",23
"SEA202008020",4,0,0,0,"X","olsom001","8/F78XD",24
"SEA202008020",4,0,1,2,"CFBFC","chapm001","K",25
"SEA202008020",4,0,3,1,"CBBBB","canhm001","W",26
"SEA202008020",4,0,1,2,"FBCFX","grosr001","7/F7D",27
"SEA202008020",4,1,2,1,"CBBX","lewik001","13/G4MS",28
"SEA202008020",4,1,2,2,"CBCBFFX","voged001","63/G34",29
"SEA202008020",4,1,2,2,"BSSBC","white005","K",30
"SEA202008020",5,0,3,1,"BBSBX","brows003","8/F89XD+",31
"SEA202008020",5,0,3,2,"CBFBBFFX","allea001","9/F9L",32
"SEA202008020",5,0,3,2,"BFCBBB","kempt001","W",33
"SEA202008020",5,0,3,2,".*B1BBFC>X","semim001","S5/G6S.1-3",34
"SEA202008020",5,0,1,2,"..CBFX","laurr001","HR/L78XD.3-H;1-H",35
"SEA202008020",5,0,2,2,"BSFBS","olsom001","K",36
"SEA202008020",5,1,0,2,"FSX","longs001","S8/G4MS",37
"SEA202008020",5,1,1,0,"BX","gordd002","9/L89",38
"SEA202008020",5,1,0,2,"SSB","smitm007","WP.1-2",39
"SEA202008020",5,1,1,2,"SSB.T","smitm007","K",40
"SEA202008020",5,1,0,1,"CX","hudsj002","6/P6D",41
"SEA202008020",6,0,3,2,"BBFSBX","chapm001","5/P5F/FL",42
"SEA202008020",6,0,1,1,"CBH","canhm001","HP",43
"SEA202008020",6,0,0,2,"C*S>B","grosr001","SB2.1X3(25)",44
"SEA202008020",6,0,3,2,"C*S>B.BB*B","grosr001","W",45
"SEA202008020",6,0,0,2,".1CF1S","davik003","K",46
"SEA202008020",6,1,2,2,".BCF.BC","crawj002","K",47
"SEA202008020",6,1,2,0,"BBX","moord002","S8/L8D",48
"SEA202008020",6,1,2,2,"BBFFS","lewik001","K",49
"SEA202008020",6,1,0,0,"..X","voged001","63/G34D",50
"SEA202008020",7,0,3,2,".CCFBBBB","allea001","W",51
"SEA202008020",7,0,3,0,"BBBB","kempt001","W.1-2",52
"SEA202008020",7,0,1,1,".CBX","semim001","9/F89",53
"SEA202008020",7,0,1,2,"CFBS","laurr001","K",54
"SEA202008020",7,0,2,2,"CBSBS","olsom001","K",55
"SEA202008020",7,1,3,0,".BBBB","white005","W",56
"SEA202008020",7,1,3,2,"*BCBCFFFBFB","longs001","W.1-2",57
"SEA202008020",7,1,2,2,"CCFFBFBX","gordd002","6/P6",58
"SEA202008020",7,1,3,2,".BBSFBC","nolaa002","K",59
"SEA202008020",7,1,3,2,"..BBBCS>S","lopet001","K",60
"SEA202008020",8,0,1,1,"..BCX","chapm001","S7/L78D",61
"SEA202008020",8,0,2,2,"BFS1FBFS","canhm001","K",62
"SEA202008020",8,0,3,2,"C1BB*BFX","grosr001","3/G3S.1-3",63
"SEA202008020",8,0,3,2,"BFCBBFS","davik003","K",64
"SEA202008020",8,1,2,1,".BBCX","crawj002","43/G34",65
"SEA202008020",8,1,0,0,"X","moord002","1/BP1S",66
"SEA202008020",8,1,0,1,"CX","lewik001","HR/F78XD",67
"SEA202008020",8,1,2,2,"BBSCFX","voged001","31/G3+",68
"SEA202008020",9,0,1,2,"..FFBS","allea001","K",69
"SEA202008020",9,0,0,1,"FX","kempt001","63/G6MD",70
"SEA202008020",9,0,0,2,"CSS","semim001","K",71
"SEA202008020",9,1,1,2,"..CFBS","white005","K",72
"SEA202008020",9,1,1,0,"BX","longs001","S7/L7+",73
"SEA202008020",9,1,3,2,".1BCFBB1FFFFF>S","seagk001","K+SB2",74
"SEA202008020",9,1,1,2,".CSBT","nolaa002","K",75
"SEA202008030",1,0,3,2,"CFBBBX","semim001","53/G5D",1
"SEA202008030",1,0,2,1,"CBBX","laurr001","S7/L78D+",2
"SEA202008030",1,0,1,0,"BN","canhm001","SB2",3
"SEA202008030",1,0,2,2,"BN.CCB*S","canhm001","K",4
"SEA202008030",1,0,0,1,"CX","chapm001","8/L8D",5
"SEA202008030",1,1,1,2,"CCBS","crawj002","K",6
