"GAME_ID","BAT_HOME_ID","SUB_LINEUP_ID","REMOVED_ID","REMOVED_FLD_CD","EVENT_ID"
"SEA202007310",1,0,"manas001",1,37
"SEA202007310",1,0,"wendj001",1,45
"SEA202007310",0,0,"walkt004",1,57
"SEA202007310",1,0,"weemj001",1,63
"SEA202007310",0,0,"shawb001",1,67
"SEA202008010",0,0,"kikuy001",1,43
"SEA202008010",1,0,"fierm001",1,48
"SEA202008010",1,8,"voged001",10,55
"SEA202008010",1,0,"diekj001",1,55
"SEA202008010",0,0,"margn001",1,58
"SEA202008010",1,0,"petiy001",1,64
"SEA202008010",1,2,"nolaa002",2,65
"SEA202008010",0,2,"gordd002",12,71
"SEA202008010",0,0,"magim001",1,71
"SEA202008010",0,7,"davik003",10,71
"SEA202008010",0,9,"murps001",2,72
"SEA202008010",1,0,"sorij001",1,75
"SEA202008010",1,9,"grosr001",11,75
"SEA202008020",0,0,"gravk001",1,34
"SEA202008020",0,7,"brows003",10,45
"SEA202008020",1,0,"bassc001",1,49
"SEA202008020",0,0,"misia001",1,50
"SEA202008020",1,0,"mcfat001",1,55
"SEA202008020",1,8,"smitm007",9,58
"SEA202008020",1,9,"hudsj002",2,59
"SEA202008020",0,8,"nolaa002",11,60
"SEA202008020",0,9,"lopet001",11,60
"SEA202008020",1,0,"diekj001",1,64
"SEA202008020",0,0,"ramiy002",1,68
"SEA202008020",1,8,"allea001",2,71
"SEA202008020",1,0,"petiy001",1,71
"SEA202008020",1,7,"gordd002",7,73
"SEA202008030",0,0,"shefj001",1,40
"SEA202008030",0,0,"shawb001",1,53
"SEA202008030",0,1,"crawj002",6,71
"SEA202008030",0,0,"grotz001",1,71
"SEA202008030",0,6,"pindc001",4,72
"SEA202008030",1,0,"montf001",1,76
"SEA202008030",1,6,"barrf001",11,76
"SEA202008030",1,4,"chapm001",5,76
"SEA202008030",1,3,"canhm001",7,76
"SEA202008030",1,2,"laurr001",8,76
"SEA202008030",0,9,"smitm007",9,79
"SEA202008030",0,3,"lewik001",8,79
"SEA202008030",0,5,"olsom001",3,84
"SEA202008030",1,5,"brows003",12,85
"SEA202008030",1,0,"wendj001",1,85
"SEA202008040",0,0,"dunnj002",1,35
"SEA202008040",0,0,"edwac001",1,41
"SEA202008040",1,0,"heana001",1,48
"SEA202008040",0,0,"gerbj001",1,49
"SEA202008040",1,0,"middk001",1,56
"SEA202008040",0,0,"swane001",1,58
"SEA202008040",1,0,"milnh001",1,61
"SEA202008040",1,0,"penaf002",1,65
"SEA202008040",0,0,"magim001",1,66
"SEA202008050",1,0,"tehej001",1,24
"SEA202008050",1,0,"buchr001",1,31
"SEA202008050",1,0,"andrm001",1,54
"SEA202008050",1,0,"ramin002",1,61
"SEA202008050",0,0,"gonzm005",1,63
"SEA202008050",0,4,"uptoj001",10,70
"SEA202008050",1,0,"mayem001",1,71
"SEA202008050",1,0,"roblh001",1,76
"SEA202008050",0,0,"willt003",1,77
"SEA202008050",0,6,"wardt002",7,78
"SEA202008060",0,0,"walkt004",1,30
"SEA202008060",0,0,"gerbj001",1,43
"SEA202008060",0,0,"guilt001",1,50
"SEA202008060",0,0,"altad001",1,57
"SEA202008070",0,0,"kikuy001",1,45
"SEA202008070",1,0,"senza001",1,55
"SEA202008070",0,0,"swane001",1,58
"SEA202008070",1,0,"kinlt001",1,64
"SEA202008070",1,0,"bardd001",1,76
"SEA202008080",0,0,"margn001",1,23
"SEA202008080",0,0,"misia001",1,31
"SEA202008080",1,0,"castr005",1,39
"SEA202008080",0,0,"gerbj001",1,45
"SEA202008080",0,0,"guilt001",1,60
"SEA202008080",1,0,"hoffj003",1,64
"SEA202008080",0,0,"magim001",1,67
"SEA202008080",1,0,"almoy001",1,70
"SEA202008090",0,0,"shefj001",1,43
"SEA202008090",0,0,"swane001",1,54
"SEA202008090",0,0,"altad001",1,61
"SEA202008090",0,4,"kempm001",10,61
"SEA202008090",0,6,"diaze005",2,62
"SEA202008090",1,6,"murpd006",11,63
"SEA202008090",1,0,"marqg001",1,63
"SEA202008190",1,0,"uriaj001",1,23
"SEA202008190",1,6,"white005",3,32
"SEA202008190",1,0,"santd003",1,36
"SEA202008190",0,2,"moord002",4,38
"SEA202008190",0,6,"longs001",11,38
"SEA202008190",1,0,"flord002",1,54
"SEA202008190",1,5,"muncm001",3,54
"SEA202008190",1,0,"baezp001",1,61
"SEA202008190",0,0,"walkt004",1,65
"SEA202008190",0,5,"beatm001",3,69
"SEA202008190",0,0,"misia001",1,69
"SEA202008190",1,4,"bellc002",8,70
"SEA202008190",1,5,"herne001",11,70
"SEA202008190",1,6,"polla001",7,70
"SEA202008200",0,0,"kikuy001",1,39
"SEA202008200",0,0,"guilt001",1,45
"SEA202008200",1,0,"kersc001",1,65
"SEA202008200",0,0,"newsl001",1,69
"SEA202008200",1,0,"mcgej001",1,72
"SEA202008210",1,0,"allak001",1,13
"SEA202008210",0,0,"margn001",1,51
"SEA202008210",1,0,"benjw001",1,54
"SEA202008210",0,0,"gerbj001",1,58
"SEA202008210",1,0,"gibai001",1,63
"SEA202008210",0,0,"magim001",1,66
"SEA202008210",1,0,"hergj001",1,69
"SEA202008210",0,0,"altad001",1,72
"SEA202008220",1,0,"lylej001",1,46
"SEA202008220",0,0,"shefj001",1,59
"SEA202008220",1,0,"heart001",1,63
"SEA202008220",0,0,"gerbj001",1,69
"SEA202008220",1,0,"chavj001",1,73
"SEA202008220",0,0,"fleta001",1,80
"SEA202008230",0,0,"dunnj002",1,47
"SEA202008230",1,0,"minom001",1,50
"SEA202008230",0,0,"misia001",1,53
"SEA202008230",1,0,"rodrj004",1,57
"SEA202008230",0,0,"altad001",1,60
"SEA202009040",1,0,"codyk001",1,24
"SEA202009040",1,0,"kingj002",1,42
"SEA202009040",0,0,"kikuy001",1,47
"SEA202009040",1,0,"benjw001",1,50
"SEA202009040",0,0,"gravk001",1,56
"SEA202009040",1,0,"hergj001",1,59
"SEA202009040",0,0,"misia001",1,66
"SEA202009040",0,6,"marmj001",7,66
"SEA202009050",1,0,"gibsk002",1,47
"SEA202009050",1,0,"martb002",1,59
"SEA202009050",1,0,"rodrj004",1,61
"SEA202009050",0,0,"shefj001",1,62
"SEA202009050",1,6,"marmj001",10,68
"SEA202009050",0,0,"gerbj001",1,73
"SEA202009050",0,6,"heins001",3,74
"SEA202009050",0,7,"white006",7,75
"SEA202009050",0,8,"mathj001",2,76
"SEA202009060",0,0,"dunnj002",1,48
"SEA202009060",1,6,"marmj001",7,54
"SEA202009060",1,0,"lylej001",1,56
"SEA202009060",0,6,"moord002",12,60
"SEA202009060",0,0,"misia001",1,60
"SEA202009060",1,0,"martb002",1,64
"SEA202009060",0,0,"gravk001",1,67
"SEA202009070",1,0,"allak001",1,36
"SEA202009070",1,0,"hergj001",1,42
"SEA202009070",0,3,"choos001",10,47
"SEA202009070",1,0,"benjw001",1,54
"SEA202009070",0,0,"gonzm005",1,57
"SEA202009070",1,0,"heart001",1,60
"SEA202009070",0,0,"lockw001",1,65
"SEA202009070",0,0,"fleta001",1,70
"SEA202009141",1,3,"piscs001",9,41
"SEA202009141",1,4,"canhm001",7,41
"SEA202009141",1,0,"luzaj001",1,47
"SEA202009141",1,0,"petiy001",1,51
"SEA202009141",1,0,"sorij001",1,58
"SEA202009141",0,0,"gonzm005",1,59
"SEA202009141",0,8,"marmj001",7,59
"SEA202009141",0,1,"moord002",6,59
