"GAME_ID","GAME_DT","GAME_CT","START_GAME_TM","DH_FL","DAYNIGHT_PARK_CD","AWAY_TEAM_ID","HOME_TEAM_ID","PARK_ID","BASE4_UMP_ID","BASE1_UMP_ID","BASE2_UMP_ID","ATTEND_PARK_CT","SCORER_RECORD_ID","METHOD_RECORD_CD","PITCHES_RECORD_CD","TEMP_PARK_CT","WIND_DIRECTION_PARK_CD","WIND_SPEED_PARK_CT","FIELD_PARK_CD","PRECIP_PARK_CD","SKY_PARK_CD","MINUTES_GAME_CT","WIN_PIT_ID","LOSE_PIT_ID","SAVE_PIT_ID"
"SFN202007280","20200728",0,645,"T","N","SDN","SFN","SFO03","knigb901","muchm901","woodt901",0,"",0,1,59,2,16,0,1,2,174,"daviz001","samaj001","pomed001"
"SFN202007290","20200729",0,645,"T","N","SDN","SFN","SFO03","muchm901","woodt901","hudsm901",0,"",0,1,60,2,10,0,1,2,182,"roget002","stram001",""
"SFN202007300","20200730",0,645,"T","N","SDN","SFN","SFO03","woodt901","hudsm901","knigb901",0,"",0,1,62,2,17,0,1,2,244,"johnp001","roget002",""
"SFN202007310","20200731",0,610,"T","N","TEX","SFN","SFO03","wolfj901","barrl901","libkj901",0,"",0,1,63,2,16,0,1,2,184,"menec001","minom001",""
"SFN202008010","20200801",0,610,"T","N","TEX","SFN","SFO03","barrl901","libkj901","reynj901",0,"",0,1,65,2,17,0,1,1,209,"barac001","lylej001",""
"SFN202008020","20200802",0,105,"T","D","TEX","SFN","SFO03","libkj901","reynj901","barrl901",0,"",0,1,65,2,8,0,1,2,184,"hernj004","triga001",""
"SFN202008140","20200814",0,645,"T","N","OAK","SFN","SFO03","muchm901","morag901","hudsm901",0,"",0,1,85,0,14,0,1,1,203,"sorij001","garcj006","hendl001"
"SFN202008150","20200815",0,407,"T","D","OAK","SFN","SFO03","hudsm901","willl901","knigb901",0,"",0,1,86,2,9,0,1,2,218,"mcfat001","gottt001","hendl001"
"SFN202008160","20200816",0,105,"T","D","OAK","SFN","SFO03","willl901","knigb901","muchm901",0,"",0,1,79,0,5,0,1,2,211,"fierm001","webbl001",""
"SFN202008190","20200819",0,645,"T","N","ANA","SFN","SFO03","reynj901","barrl901","hamaa901",0,"",0,1,75,2,4,0,1,1,185,"cuetj001","sandp002",""
"SFN202008200","20200820",0,645,"T","N","ANA","SFN","SFO03","barrl901","hamaa901","libkj901",0,"",0,1,75,6,5,0,1,2,220,"gausk001","suarj001",""
"SFN202008210","20200821",0,645,"T","N","ARI","SFN","SFO03","knigb901","muchm901","hamaa901",0,"",0,1,67,2,20,0,1,2,178,"webbl001","ray-r002",""
"SFN202008220","20200822",0,615,"T","N","ARI","SFN","SFO03","muchm901","hamaa901","hudsm901",0,"",0,1,68,3,17,0,1,2,163,"andet002","gracm003",""
"SFN202008230","20200823",0,110,"T","D","ARI","SFN","SFO03","hamaa901","hudsm901","knigb901",0,"",0,1,70,2,5,0,1,2,172,"barac001","weavl001",""
"SFN202008250","20200825",0,645,"T","N","LAN","SFN","SFO03","hudsm901","knigb901","muchm901",0,"",0,1,63,2,17,0,1,2,262,"selms001","santd003",""
"SFN202008271","20200827",1,105,"T","D","LAN","SFN","SFO03","knigb901","willl901","hamaa901",0,"",0,1,63,2,13,0,1,1,137,"kersc001","webbl001",""
"SFN202008272","20200827",2,440,"T","D","LAN","SFN","SFO03","muchm901","hamaa901","hudsm901",0,"",0,1,63,2,15,0,1,1,150,"gonzv001","gausk001","jansk001"
"SFN202009040","20200904",0,645,"T","N","ARI","SFN","SFO03","mosce901","drakr901","eddid901",0,"",0,1,66,2,12,0,1,1,212,"bergt001","andet002","ginkk001"
"SFN202009050","20200905",0,615,"T","N","ARI","SFN","SFO03","drakr901","eddid901","millb901",0,"",0,1,84,5,13,0,1,1,186,"barac001","bumgm001","watst001"
"SFN202009060","20200906",0,105,"T","D","ARI","SFN","SFO03","eddid901","millb901","mosce901",0,"",0,1,88,2,11,0,1,1,172,"barac001","youna002","roget002"
"SFN202009070","20200907",0,505,"T","N","ARI","SFN","SFO03","millb901","mosce901","drakr901",0,"",0,1,82,2,18,0,1,1,176,"gausk001","gallz001","coons001"
"SFN202009080","20200908",0,645,"T","N","SEA","SFN","SFO03","libkj901","barrl901","johna901",0,"",0,1,64,0,13,0,1,2,184,"roget002","misia001","watst001"
"SFN202009090","20200909",0,645,"T","N","SEA","SFN","SFO03","barrl901","johna901","mccrk901",0,"",0,1,60,2,9,0,1,2,185,"andet002","margn001",""
"SFN202009210","20200921",0,645,"T","N","COL","SFN","SFO03","barrt901","rippm901","wolcq901",0,"",0,1,65,2,13,0,1,1,213,"marqg001","cuetj001",""
"SFN202009220","20200922",0,645,"T","N","COL","SFN","SFO03","rippm901","wolcq901","johna901",0,"",0,1,65,3,13,0,1,1,206,"roget002","diazj006","coons001"
"SFN202009230","20200923",0,645,"T","N","COL","SFN","SFO03","wolcq901","johna901","barrt901",0,"",0,1,68,2,15,0,1,1,190,"webbl001","castr005",""
"SFN202009240","20200924",0,1245,"T","D","COL","SFN","SFO03","johna901","barrt901","rippm901",0,"",0,1,70,2,17,0,1,2,253,"bardd001","cahit001","diazj006"
"SFN202009251","20200925",1,410,"T","D","SDN","SFN","SFO03","eddid901","cejan901","millb901",0,"",0,1,70,3,20,0,1,2,147,"andet002","paddc001",""
"SFN202009260","20200926",0,615,"T","N","SDN","SFN","SFO03","millb901","drakr901","mosce901",0,"",0,1,75,4,15,0,1,1,167,"stamc001","cuetj001",""
"SFN202009270","20200927",0,1205,"T","D","SDN","SFN","SFO03","drakr901","mosce901","eddid901",0,"",0,1,84,4,2,0,1,1,202,"altad001","smyld001","roset001"
