"GAME_ID","INN_CT","BAT_HOME_ID","BALLS_CT","STRIKES_CT","PITCH_SEQ_TX","BAT_ID","EVENT_TX","EVENT_ID"
"SFN202007280",1,0,3,2,"CBBFBX","tatif002","63/G6",1
"SFN202007280",1,0,2,0,"BBX","grist001","9/F89D",2
"SFN202007280",1,0,0,0,"X","machm001","53/G5",3
"SFN202007280",1,1,0,0,"X","yastm001","S9/L89D",4
"SFN202007280",1,1,2,0,"BB1X","sandp001","13/G3S-.1-2",5
"SFN202007280",1,1,3,1,"B*BCBX","florw001","S7/G5.2-H(E7)(NR)(UR);B-2",6
"SFN202007280",1,1,1,2,"FFBX","dicka001","8/F78D",7
"SFN202007280",1,1,1,0,"BX","heint001","4/P9S",8
"SFN202007280",2,0,1,1,"BCX","phamt001","8/F78XD",9
"SFN202007280",2,0,0,0,"X","hosme001","9/F9D+",10
"SFN202007280",2,0,3,2,"CFBFBBFFFX","profj001","43/G9S+",11
"SFN202007280",2,1,0,2,"CFX","crawb001","43/G4",12
"SFN202007280",2,1,0,2,"CSS","davij008","K",13
"SFN202007280",2,1,1,2,"CCBS","mccaj002","K",14
"SFN202007280",3,0,0,1,"CX","myerw001","S9/L89",15
"SFN202007280",3,0,3,2,"BF*BFB>F>B","mejif001","W.1-2",16
"SFN202007280",3,0,3,2,"FBCBFBX","naylj001","5/P5DF/FL",17
"SFN202007280",3,0,3,1,"CBBBX","tatif002","HR/F9LD.2-H;1-H",18
"SFN202007280",3,0,1,1,"CBX","grist001","3/P13",19
"SFN202007280",3,0,3,2,"CBCBBS","machm001","K",20
"SFN202007280",3,1,1,2,"CFBFC","dubom001","K",21
"SFN202007280",3,1,1,2,"BCFX","yastm001","7/F7L",22
"SFN202007280",3,1,1,2,"BSSX","sandp001","8/L8XD",23
"SFN202007280",4,0,1,2,"CCBX","phamt001","63/G6",24
"SFN202007280",4,0,1,1,"CBX","hosme001","S8/L78",25
"SFN202007280",4,0,3,2,"BBBCS>X","profj001","13/G1S-.1-2",26
"SFN202007280",4,0,0,0,"X","myerw001","HR/L8XD.2-H",27
"SFN202007280",4,0,3,2,"BBFBTFX","mejif001","63/G4D",28
"SFN202007280",4,1,2,2,"BCCBFFX","florw001","S8/G4M",29
"SFN202007280",4,1,0,0,"X","dicka001","3/L3/DP.1X1(3)",30
"SFN202007280",4,1,3,2,"CBBBCX","heint001","8/F8",31
"SFN202007280",5,0,1,2,"..CSBX","frant002","3/G3",32
"SFN202007280",5,0,3,2,"CBBFBFC","tatif002","K",33
"SFN202007280",5,0,0,0,"X","grist001","6/P8S",34
