"GAME_ID","BAT_HOME_ID","SUB_LINEUP_ID","REMOVED_ID","REMOVED_FLD_CD","EVENT_ID"
"SFN202007280",0,0,"samaj001",1,31
"SFN202007280",0,9,"naylj001",10,31
"SFN202007280",1,0,"daviz001",1,42
"SFN202007280",1,4,"dicka001",10,44
"SFN202007280",1,0,"stram001",1,50
"SFN202007280",1,8,"mccaj002",7,51
"SFN202007280",0,1,"yastm001",8,53
"SFN202007280",0,8,"solad001",11,53
"SFN202007280",0,9,"dubom001",4,53
"SFN202007280",0,0,"menec001",1,53
"SFN202007280",1,0,"guerj004",1,60
"SFN202007280",1,8,"mejif001",2,60
"SFN202007280",1,4,"phamt001",7,60
"SFN202007280",0,0,"coons001",1,63
"SFN202007280",1,0,"pagae001",1,66
"SFN202007280",1,6,"crawb001",6,68
"SFN202007290",0,0,"cuetj001",1,33
"SFN202007290",0,0,"andes002",1,42
"SFN202007290",1,0,"paddc001",1,54
"SFN202007290",1,0,"bednd001",1,64
"SFN202007290",1,0,"hillt002",1,71
"SFN202007290",1,0,"stamc001",1,77
"SFN202007290",0,0,"andet002",1,79
"SFN202007300",0,0,"gausk001",1,39
"SFN202007300",1,0,"lamed001",1,53
"SFN202007300",0,0,"barac001",1,56
"SFN202007300",1,0,"perdl002",1,67
"SFN202007300",1,6,"sandp001",10,68
"SFN202007300",1,7,"crawb001",6,69
"SFN202007300",0,7,"slata001",11,71
"SFN202007300",0,0,"coons001",1,71
"SFN202007300",1,0,"pomed001",1,74
"SFN202007300",1,8,"mejif001",2,74
"SFN202007300",1,0,"pagae001",1,79
"SFN202007300",0,0,"peraw002",1,80
"SFN202007300",1,6,"florw001",10,84
"SFN202007300",0,6,"myerw001",10,90
"SFN202007300",0,0,"roget002",1,93
"SFN202007300",1,0,"johnp001",1,97
"SFN202007300",1,4,"beltb001",3,100
"SFN202007310",0,0,"webbl001",1,31
"SFN202007310",0,0,"menec001",1,47
"SFN202007310",1,0,"minom001",1,55
"SFN202007310",0,0,"andes002",1,56
"SFN202007310",1,0,"gibai001",1,59
"SFN202007310",0,4,"pench001",7,67
"SFN202007310",0,0,"peraw002",1,67
"SFN202007310",0,6,"calhw001",10,69
"SFN202007310",1,0,"farrl001",1,71
"SFN202007310",0,0,"watst001",1,74
"SFN202007310",0,1,"choos001",7,76
"SFN202008010",1,2,"solan001",7,26
"SFN202008010",1,3,"odorr001",4,26
"SFN202008010",0,0,"smyld001",1,40
"SFN202008010",0,0,"andes002",1,44
"SFN202008010",1,0,"lylej001",1,45
"SFN202008010",1,2,"dicka001",7,46
"SFN202008010",0,2,"slata001",11,49
"SFN202008010",0,0,"barac001",1,49
"SFN202008010",1,6,"sandp001",10,53
"SFN202008010",1,0,"martb002",1,56
"SFN202008010",1,9,"duggs001",9,57
"SFN202008010",1,0,"paluj001",1,59
"SFN202008010",0,1,"yastm001",8,60
"SFN202008010",0,9,"ruf-d001",11,60
"SFN202008010",0,0,"garcr006",1,60
"SFN202008010",1,0,"goodn001",1,63
"SFN202008010",0,0,"roget002",1,67
"SFN202008010",0,3,"garca005",7,68
"SFN202008010",1,3,"calhw001",11,71
"SFN202008010",1,0,"chavj001",1,71
"SFN202008010",0,0,"gottt001",1,79
"SFN202008020",1,0,"allak001",1,38
"SFN202008020",0,0,"samaj001",1,48
"SFN202008020",1,7,"ruf-d001",10,51
"SFN202008020",1,0,"gibai001",1,52
"SFN202008020",1,1,"slata001",9,54
"SFN202008020",0,1,"dicka001",11,56
"SFN202008020",0,0,"triga001",1,59
"SFN202008020",1,0,"chavj001",1,64
"SFN202008020",0,0,"andet002",1,75
"SFN202008020",0,3,"calhw001",10,76
"SFN202008020",1,0,"hernj004",1,81
"SFN202008140",1,0,"luzaj001",1,35
"SFN202008140",1,0,"wendj001",1,56
"SFN202008140",1,6,"ruf-d001",7,58
"SFN202008140",0,1,"yastm001",8,60
"SFN202008140",0,6,"dicka001",11,60
"SFN202008140",0,9,"dubom001",6,60
"SFN202008140",0,0,"cuetj001",1,60
"SFN202008140",0,2,"kempt001",4,62
"SFN202008140",1,2,"pindc001",11,63
"SFN202008140",1,0,"trivl001",1,63
"SFN202008140",0,0,"watst001",1,67
"SFN202008140",0,0,"gottt001",1,73
"SFN202008140",0,9,"murps001",2,75
"SFN202008140",1,9,"barrf001",12,77
"SFN202008140",1,0,"mcfat001",1,77
"SFN202008140",0,0,"roget002",1,83
"SFN202008140",1,0,"sorij001",1,86
"SFN202008140",1,7,"sandp001",10,86
"SFN202008140",1,8,"tromc001",2,86
"SFN202008150",0,0,"gausk001",1,44
"SFN202008150",0,8,"machv001",10,44
"SFN202008150",0,9,"allea001",2,45
"SFN202008150",1,9,"murps001",11,46
"SFN202008150",1,0,"manas001",1,46
"SFN202008150",0,0,"peraw002",1,49
"SFN202008150",1,0,"smitb005",1,58
"SFN202008150",0,0,"roget002",1,61
"SFN202008150",0,9,"dubom001",6,61
"SFN202008150",0,7,"ruf-d001",7,61
"SFN202008150",0,5,"florw001",3,61
"SFN202008150",0,3,"yastm001",8,61
"SFN202008150",1,0,"trivl001",1,68
"SFN202008150",0,0,"watst001",1,69
"SFN202008150",0,4,"olsom001",3,74
"SFN202008150",0,0,"gottt001",1,75
"SFN202008150",1,4,"barrf001",12,76
"SFN202008150",1,5,"canhm001",8,76
"SFN202008150",1,6,"grosr001",7,76
"SFN202008150",1,0,"mcfat001",1,76
"SFN202008150",1,8,"tromc001",2,78
"SFN202008160",0,0,"webbl001",1,36
"SFN202008160",0,2,"kempt001",4,36
"SFN202008160",0,0,"peraw002",1,41
"SFN202008160",1,2,"pindc001",11,47
"SFN202008160",1,5,"longe001",5,60
"SFN202008160",0,5,"sandp001",11,63
"SFN202008160",0,0,"rodrd001",1,63
"SFN202008160",1,0,"fierm001",1,66
"SFN202008160",1,1,"semim001",6,66
"SFN202008160",1,1,"yastm001",9,68
"SFN202008160",0,1,"ruf-d001",11,71
"SFN202008160",0,0,"barac001",1,71
"SFN202008160",1,3,"chapm001",5,76
"SFN202008160",0,6,"florw001",10,79
"SFN202008160",0,7,"heint001",2,79
"SFN202008160",1,0,"kaprj001",1,82
"SFN202008190",1,0,"sandp002",1,38
"SFN202008190",0,0,"cuetj001",1,47
"SFN202008190",0,0,"suara002",1,50
"SFN202008190",0,3,"yastm001",8,54
"SFN202008190",0,7,"ruf-d001",7,54
"SFN202008190",1,0,"ramin002",1,57
"SFN202008190",0,5,"florw001",3,63
"SFN202008190",0,0,"barac001",1,63
"SFN202008190",1,0,"roblh001",1,67
"SFN202008190",0,0,"roget002",1,70
"SFN202008200",1,0,"suarj001",1,22
"SFN202008200",1,7,"ruf-d001",7,26
"SFN202008200",1,8,"stasm001",2,27
"SFN202008200",0,7,"dicka001",11,28
"SFN202008200",1,0,"andrm001",1,32
"SFN202008200",0,0,"gausk001",1,59
"SFN202008200",0,0,"selms001",1,69
"SFN202008200",0,0,"andes002",1,74
"SFN202008200",1,0,"tehej001",1,82
"SFN202008200",0,0,"peraw002",1,85
"SFN202008210",1,1,"slata001",10,7
"SFN202008210",1,0,"ray-r002",1,50
"SFN202008210",1,1,"ruf-d001",10,51
"SFN202008210",1,0,"ginkk001",1,56
"SFN202008210",1,6,"pench001",7,59
"SFN202008210",0,4,"florw001",3,63
"SFN202008210",0,6,"dicka001",11,63
"SFN202008210",0,0,"webbl001",1,63
"SFN202008210",0,8,"lambj001",3,63
"SFN202008210",0,9,"jay-j001",8,64
"SFN202008210",1,8,"locat001",11,67
"SFN202008210",1,9,"cronk001",11,67
"SFN202008210",1,0,"guerj003",1,67
"SFN202008210",0,0,"watst001",1,70
"SFN202008220",1,0,"gallz001",1,50
"SFN202008220",1,8,"tromc001",2,51
"SFN202008220",1,9,"duggs001",8,52
"SFN202008220",1,0,"gracm003",1,53
"SFN202008220",1,0,"guerj003",1,56
"SFN202008220",0,8,"bartj003",11,59
"SFN202008220",0,9,"dubom001",11,59
"SFN202008230",0,0,"cahit001",1,39
"SFN202008230",1,0,"weavl001",1,46
"SFN202008230",0,0,"barac001",1,48
