"GAME_ID","GAME_DT","GAME_CT","START_GAME_TM","DH_FL","DAYNIGHT_PARK_CD","AWAY_TEAM_ID","HOME_TEAM_ID","PARK_ID","BASE4_UMP_ID","BASE1_UMP_ID","BASE2_UMP_ID","ATTEND_PARK_CT","SCORER_RECORD_ID","METHOD_RECORD_CD","PITCHES_RECORD_CD","TEMP_PARK_CT","WIND_DIRECTION_PARK_CD","WIND_SPEED_PARK_CT","FIELD_PARK_CD","PRECIP_PARK_CD","SKY_PARK_CD","MINUTES_GAME_CT","WIN_PIT_ID","LOSE_PIT_ID","SAVE_PIT_ID"
"SLN202007240","20200724",0,715,"T","N","PIT","SLN","STL10","mealj901","hicke901","bakej902",0,"",0,1,90,7,7,0,1,1,172,"flahj002","musgj001","kim-k001"
"SLN202007250","20200725",0,115,"T","D","PIT","SLN","STL10","hicke901","bakej902","rehaj901",0,"",0,1,90,0,6,0,1,1,175,"waina001","willt002",""
"SLN202007260","20200726",0,115,"T","D","PIT","SLN","STL10","bakej902","rehaj901","mealj901",0,"",0,1,92,0,7,0,1,2,176,"kellm003","hudsd002",""
"SLN202008172","20200817",2,705,"T","N","CHN","SLN","CHI11","lives901","diazl901","blakr901",0,"",0,1,79,7,6,0,1,2,153,"unded001","webbt001","jeffj001"
"SLN202008192","20200819",2,507,"T","N","CHN","SLN","CHI11","bacce901","lives901","diazl901",0,"",0,1,77,8,7,0,1,1,146,"jeffj001","milla002","kimbc001"
"SLN202008200","20200820",0,715,"T","N","CIN","SLN","STL10","buckc901","clemp901","tumpj901",0,"",0,1,79,0,7,0,1,1,192,"elles001","igler001",""
"SLN202008210","20200821",0,715,"T","N","CIN","SLN","STL10","clemp901","tumpj901","navaj901",0,"",0,1,80,7,8,0,1,2,190,"lorem002","cabrg001","igler001"
"SLN202008220","20200822",0,715,"T","N","CIN","SLN","STL10","tumpj901","navaj901","buckc901",0,"",0,1,83,8,7,0,1,1,135,"kim-k001","milew001","gallg001"
"SLN202008230","20200823",0,115,"T","D","CIN","SLN","STL10","navaj901","buckc901","clemp901",0,"",0,1,90,2,4,0,1,2,183,"cabrg001","mahlt001",""
"SLN202008240","20200824",0,715,"T","N","KCA","SLN","STL10","mealj901","rehaj901","hicke901",0,"",0,1,95,8,6,0,1,2,190,"flahj002","kellb003",""
"SLN202008250","20200825",0,715,"T","N","KCA","SLN","STL10","rehaj901","hicke901","bakej902",0,"",0,1,87,8,7,0,1,2,187,"stauj001","gantj002","roset001"
"SLN202008260","20200826",0,715,"T","N","KCA","SLN","STL10","hicke901","bakej902","mealj901",0,"",0,1,84,8,7,0,1,2,217,"reyea004","rosar002",""
"SLN202008271","20200827",1,215,"T","D","PIT","SLN","STL10","bakej902","clemp901","rehaj901",0,"",0,1,85,1,7,0,1,3,168,"strac001","gantj002","rodrr008"
"SLN202008272","20200827",2,700,"T","N","PIT","SLN","STL10","mealj901","rehaj901","hicke901",0,"",0,1,85,8,7,0,1,3,122,"poncc002","oviej001","turln001"
"SLN202008280","20200828",0,715,"T","N","CLE","SLN","STL10","clemp901","rehaj901","hicke901",0,"",0,1,84,8,5,0,1,1,231,"hillc001","poncd001","pluta001"
"SLN202008290","20200829",0,1215,"T","D","CLE","SLN","STL10","rehaj901","hicke901","mealj901",0,"",0,1,83,4,8,0,1,2,246,"wittn001","reyea004","handb001"
"SLN202008300","20200830",0,115,"T","D","CLE","SLN","STL10","hicke901","mealj901","clemp901",0,"",0,1,80,8,5,0,1,2,144,"waina001","civaa001",""
"SLN202009052","20200905",2,750,"T","N","CHN","SLN","CHI11","littw901","bacce901","herna901",0,"",0,1,72,7,5,0,1,2,136,"helsr001","rea-c001",""
"SLN202009081","20200908",1,215,"T","D","MIN","SLN","STL10","timmt901","blakr901","diazl901",0,"",0,1,88,0,7,0,1,3,151,"berrj001","martc006",""
"SLN202009082","20200908",2,535,"T","N","MIN","SLN","STL10","reybd901","diazl901","lives901",0,"",0,1,80,0,7,0,1,2,168,"cabrg001","dobnr001","gallg001"
"SLN202009101","20200910",1,115,"T","D","DET","SLN","STL10","blakr901","clemp901","diazl901",0,"",0,1,81,6,4,0,1,2,154,"flahj002","skubt001",""
"SLN202009102","20200910",2,440,"T","D","DET","SLN","STL10","lives901","diazl901","reybd901",0,"",0,1,82,6,7,0,1,2,160,"cisnj001","gallg001","garcb001"
"SLN202009110","20200911",0,715,"T","N","CIN","SLN","STL10","diazl901","reybd901","clemp901",0,"",0,1,80,8,8,0,1,1,144,"castl003","waina001",""
"SLN202009120","20200912",0,715,"T","N","CIN","SLN","STL10","reybd901","clemp901","blakr901",0,"",0,1,74,4,6,0,1,2,188,"hudsd002","antot001",""
"SLN202009130","20200913",0,115,"T","D","CIN","SLN","STL10","clemp901","blakr901","diazl901",0,"",0,1,75,0,7,0,1,2,222,"brada001","gantj002","igler001"
"SLN202009182","20200918",2,801,"T","N","PIT","SLN","PIT08","rehaj901","mealj901","hicke901",0,"",0,1,61,6,9,0,1,1,139,"milla002","kuhlc001",""
"SLN202009240","20200924",0,715,"T","N","MIL","SLN","STL10","merzd901","whitc901","carlm901",0,"",0,1,71,1,6,0,1,2,223,"kim-k001","burnc002","milla002"
