"GAME_ID","INN_CT","BAT_HOME_ID","BALLS_CT","STRIKES_CT","PITCH_SEQ_TX","BAT_ID","EVENT_TX","EVENT_ID"
"SLN202007240",1,0,1,1,"CBX","newmk001","53/G",1
"SLN202007240",1,0,1,1,"BCX","reynb001","9/F",2
"SLN202007240",1,0,1,0,"BX","fraza001","9/F",3
"SLN202007240",1,1,3,1,"BBCBX","wongk001","5/P/FL",4
"SLN202007240",1,1,1,0,"BX","edmat001","53/G",5
"SLN202007240",1,1,0,0,"X","goldp001","9/L",6
"SLN202007240",2,0,1,1,"SBX","bellj005","5/L",7
"SLN202007240",2,0,0,0,"X","morac001","7/L",8
"SLN202007240",2,0,2,2,"CBFFFBX","osunj001","63/G",9
"SLN202007240",2,1,1,2,"CBFS","dejop001","K",10
"SLN202007240",2,1,3,1,"CBBBB","carpm002","W",11
"SLN202007240",2,1,1,2,"S1FBFX","moliy001","9/L",12
"SLN202007240",2,1,3,2,"CS*B1BFFB>C","fowld001","K",13
"SLN202007240",3,0,0,2,"CCS","hereg002","K",14
"SLN202007240",3,0,3,2,"BCBCBC","stalj001","K",15
"SLN202007240",3,0,0,2,"CSX","dysoj001","6/L-",16
"SLN202007240",3,1,1,1,"CBX","oneit001","HR/F78",17
"SLN202007240",3,1,2,2,"CCFBBC","badeh001","K",18
"SLN202007240",3,1,2,2,"BCSBX","wongk001","31/G",19
"SLN202007240",3,1,1,0,"BX","edmat001","S6/G",20
"SLN202007240",3,1,1,1,"B11F>B","goldp001","CS2(24)",21
"SLN202007240",4,0,1,2,"CBFX","newmk001","S8/L",22
"SLN202007240",4,0,0,0,"X","reynb001","46(1)/FO/G.B-1",23
"SLN202007240",4,0,1,1,"BFX","fraza001","S7/G.1-2",24
"SLN202007240",4,0,0,0,"X","bellj005","9/F",25
"SLN202007240",4,0,0,2,"C*SS","morac001","K",26
"SLN202007240",4,1,3,2,"FCBBBB","goldp001","W",27
"SLN202007240",4,1,2,2,"SBBFS","dejop001","K",28
"SLN202007240",4,1,0,2,"CFS","carpm002","K",29
"SLN202007240",4,1,1,1,"CBX","moliy001","64(1)/FO/G.B-1",30
"SLN202007240",5,0,3,2,"BCBSBS","osunj001","K",31
"SLN202007240",5,0,0,1,"SX","hereg002","5/L",32
"SLN202007240",5,0,1,0,"BX","stalj001","3/P/FL",33
"SLN202007240",5,1,1,2,"SBSX","fowld001","HR/F9",34
"SLN202007240",5,1,0,1,"CX","oneit001","8/F",35
"SLN202007240",5,1,0,2,"CTC","badeh001","K",36
"SLN202007240",5,1,1,2,"FCFBX","wongk001","T8/L.BXH(12)",37
"SLN202007240",6,0,1,1,"BCX","dysoj001","43/G",38
"SLN202007240",6,0,2,2,"BCBFS","newmk001","K",39
"SLN202007240",6,0,1,2,"CBTX","reynb001","31/G",40
"SLN202007240",6,1,0,2,"CFS","edmat001","K",41
"SLN202007240",6,1,1,2,"CSBFX","goldp001","S7/L",42
"SLN202007240",6,1,0,0,"B","dejop001","WP.1-2",43
"SLN202007240",6,1,3,0,"B.*BBB","dejop001","W",44
"SLN202007240",6,1,3,2,".SBCBFBX","carpm002","46(1)/FO/G.2-3;B-1",45
"SLN202007240",6,1,0,0,"..X","moliy001","S7/L.3-H;1-2",46
"SLN202007240",6,1,1,2,"SSBX","fowld001","31/G",47
"SLN202007240",7,0,1,2,"CBSX","fraza001","43/G",48
"SLN202007240",7,0,3,2,"BBFSBX","bellj005","S6/G",49
"SLN202007240",7,0,1,1,"SBX","morac001","S8/L.1-2",50
"SLN202007240",7,0,0,1,".SX","osunj001","S5/G.2-3;1-2",51
"SLN202007240",7,0,3,2,"BCBSBC","hereg002","K",52
"SLN202007240",7,0,0,1,"SX","stalj001","S9/G.3-H;2-H;1-3",53
"SLN202007240",7,0,0,0,"X","dysoj001","13/G-",54
"SLN202007240",7,1,2,0,"BBX","oneit001","53",55
"SLN202007240",7,1,2,2,"BCBCX","badeh001","4/P",56
"SLN202007240",7,1,2,1,"BCBX","wongk001","S6/G.B-2(E6/TH)",57
"SLN202007240",7,1,2,2,".CB*BSS","edmat001","K",58
"SLN202007240",8,0,0,1,".CX","newmk001","2/P/FL",59
"SLN202007240",8,0,2,2,"BBSSX","reynb001","7/F",60
"SLN202007240",8,0,3,2,"BSFFFBBX","fraza001","7/F",61
"SLN202007240",8,1,3,2,".BCBBFX","goldp001","S6/G",62
"SLN202007240",8,1,1,1,"BTX","dejop001","HR/L78.1-H",63
"SLN202007240",8,1,2,2,"FSBBX","carpm002","43/G",64
"SLN202007240",8,1,0,0,"X","moliy001","8/L",65
"SLN202007240",8,1,0,2,"CCC","fowld001","K",66
"SLN202007240",9,0,3,1,"..BBFBX","bellj005","E5/G+.B-1",67
"SLN202007240",9,0,0,1,"FX","morac001","D9/L+.1-3",68
"SLN202007240",9,0,1,2,"FSF*BX","osunj001","S8/G.3-H(UR);2-H",69
"SLN202007240",9,0,0,0,".X","hereg002","9/L",70
"SLN202007240",9,0,1,2,"B1FSFFX","stalj001","46(1)3/GDP/G",71
"SLN202007250",1,0,0,2,"CCX","newmk001","43/G",1
"SLN202007250",1,0,2,1,"BBCX","reynb001","7/F",2
"SLN202007250",1,0,1,1,"CBX","fraza001","9/F",3
"SLN202007250",1,1,0,2,"CFX","wongk001","63/G",4
"SLN202007250",1,1,2,1,"CBBX","edmat001","43/G",5
"SLN202007250",1,1,0,2,"FFX","goldp001","HR/F7",6
"SLN202007250",1,1,0,2,"CFX","dejop001","9/F",7
"SLN202007250",2,0,0,1,"FX","bellj005","S9/L+",8
"SLN202007250",2,0,1,2,"BFSX","morac001","S9/L.1-2",9
"SLN202007250",2,0,1,0,"BH","evanp001","HP.2-3;1-2",10
"SLN202007250",2,0,3,2,".BCBBSC","hereg002","K",11
"SLN202007250",2,0,3,2,"CBBBFB","murpj001","W.3-H;2-3;1-2",12
"SLN202007250",2,0,0,0,"X","tuckc001","6/P",13
"SLN202007250",2,0,2,2,"CBBCX","newmk001","63/G",14
"SLN202007250",2,1,3,2,"CBFBBC","carpm002","K",15
"SLN202007250",2,1,0,1,"CX","moliy001","53/G",16
"SLN202007250",2,1,2,2,"BBCCS","fowld001","K",17
"SLN202007250",3,0,2,2,"BBSCX","reynb001","43/G",18
"SLN202007250",3,0,0,0,"X","fraza001","43/G",19
"SLN202007250",3,0,2,2,"FBSBC","bellj005","K",20
"SLN202007250",3,1,3,2,"FSBFBBB","oneit001","W",21
"SLN202007250",3,1,1,2,"BC11FH","badeh001","HP.1-2",22
"SLN202007250",3,1,1,2,"L*BFFX","wongk001","6/P",23
"SLN202007250",3,1,0,0,"X","edmat001","43/G.2-3;1-2",24
"SLN202007250",3,1,2,1,"B*BSX","goldp001","5/L",25
"SLN202007250",4,0,2,1,"BCBX","morac001","43/G",26
"SLN202007250",4,0,3,2,"BCCBBS","evanp001","K",27
"SLN202007250",4,0,0,0,"X","hereg002","8/L",28
"SLN202007250",4,1,0,1,"CX","dejop001","S8/L",29
"SLN202007250",4,1,0,0,"X","carpm002","7/F",30
"SLN202007250",4,1,0,0,"1>X","moliy001","S9/F-.1-3",31
"SLN202007250",4,1,1,2,"TS1*BX","fowld001","S8/L.3-H;1-2",32
"SLN202007250",4,1,0,1,".FX","oneit001","S7/L.2-H;1-3",33
"SLN202007250",4,1,1,2,"C1BS1>B","badeh001","WP.1-2",34
"SLN202007250",4,1,3,2,"C1BS1>B.BFFFFS","badeh001","K",35
"SLN202007250",4,1,1,0,"..BX","wongk001","5/P",36
"SLN202007250",5,0,1,1,"CBX","murpj001","S8/F",37
"SLN202007250",5,0,2,2,"BBFFFS","tuckc001","K",38
"SLN202007250",5,0,0,0,"X","newmk001","8/L",39
"SLN202007250",5,0,1,2,"FFBX","reynb001","43/G",40
"SLN202007250",5,1,1,2,"CSBX","edmat001","7/L",41
"SLN202007250",5,1,0,2,"CSX","goldp001","53/G",42
"SLN202007250",5,1,1,2,"CFBFS","dejop001","K",43
"SLN202007250",6,0,1,2,"CBFX","fraza001","43/G",44
"SLN202007250",6,0,1,2,"BFF*S","bellj005","K.BX1(23)",45
"SLN202007250",6,0,0,2,"FFX","morac001","3/G",46
"SLN202007250",6,1,0,2,".CCX","carpm002","9/F",47
"SLN202007250",6,1,0,2,"CFX","moliy001","63/G",48
"SLN202007250",6,1,3,2,"BBTSFBX","fowld001","6/P",49
