"GAME_ID","BAT_HOME_ID","SUB_LINEUP_ID","REMOVED_ID","REMOVED_FLD_CD","EVENT_ID"
"SLN202007240",1,0,"musgj001",1,45
"SLN202007240",0,0,"flahj002",1,58
"SLN202007240",1,0,"holmc001",1,61
"SLN202007240",0,7,"fowld001",9,66
"SLN202007240",0,0,"helsr001",1,66
"SLN202007250",1,0,"willt002",1,35
"SLN202007250",1,0,"strac001",1,46
"SLN202007250",0,0,"waina001",1,49
"SLN202007250",1,0,"turln001",1,52
"SLN202007250",1,0,"crick001",1,59
"SLN202007250",0,0,"gantj002",1,64
"SLN202007250",1,7,"fowld001",9,65
"SLN202007250",0,6,"moliy001",2,71
"SLN202007250",0,7,"thoml002",11,71
"SLN202007250",0,5,"morac001",10,72
"SLN202007250",0,0,"webbt001",1,73
"SLN202007260",0,0,"hudsd002",1,38
"SLN202007260",1,0,"kellm003",1,47
"SLN202007260",0,0,"gomba001",1,50
"SLN202007260",0,0,"whitk001",1,58
"SLN202007260",1,0,"brubj001",1,63
"SLN202007260",1,4,"morac001",3,63
"SLN202007260",1,6,"osunj001",9,63
"SLN202007260",0,0,"milla002",1,66
"SLN202007260",1,0,"felim001",1,69
"SLN202008172",0,0,"reyea004",1,10
"SLN202008172",1,0,"millt003",1,25
"SLN202008172",0,0,"sancr003",1,28
"SLN202008172",1,0,"teper001",1,31
"SLN202008172",1,0,"ryank002",1,37
"SLN202008172",0,7,"schrm001",4,38
"SLN202008172",0,0,"kamir001",1,38
"SLN202008172",0,0,"cabrg001",1,47
"SLN202008172",0,8,"carav001",2,50
"SLN202008172",1,5,"contw001",10,53
"SLN202008172",1,8,"boted002",11,53
"SLN202008172",1,9,"kipnj001",4,53
"SLN202008172",0,0,"webbt001",1,56
"SLN202008172",0,4,"schwk001",7,59
"SLN202008172",1,4,"almoa002",12,61
"SLN202008172",1,6,"happi001",8,61
"SLN202008172",1,9,"winkd001",1,61
"SLN202008172",1,9,"badeh001",8,61
"SLN202008192",0,0,"oviej001",1,38
"SLN202008192",1,0,"alzoa001",1,41
"SLN202008192",0,0,"cabrg001",1,47
"SLN202008192",0,4,"schwk001",7,49
"SLN202008192",0,7,"carav001",2,50
"SLN202008192",0,0,"milla002",1,51
"SLN202008192",1,1,"happi001",8,53
"SLN202008192",1,4,"almoa002",12,53
"SLN202008192",1,5,"contw001",10,53
"SLN202008192",1,7,"hoern001",11,53
"SLN202008192",1,9,"kipnj001",4,53
"SLN202008192",1,9,"badeh001",8,55
"SLN202008200",1,0,"grays001",1,54
"SLN202008200",0,0,"waina001",1,57
"SLN202008200",1,0,"simsl001",1,64
"SLN202008200",0,0,"reyea004",1,65
"SLN202008200",0,3,"winkj002",7,71
"SLN202008200",1,3,"jankt001",12,72
"SLN202008200",1,6,"akiys001",8,72
"SLN202008200",1,0,"garra001",1,72
"SLN202008200",1,0,"igler001",1,78
"SLN202008210",0,0,"hudsd002",1,36
"SLN202008210",1,0,"desca001",1,40
"SLN202008210",0,6,"akiys001",8,48
"SLN202008210",0,0,"cabrg001",1,49
"SLN202008210",0,7,"vanmj001",10,49
"SLN202008210",1,6,"ervip001",11,51
"SLN202008210",1,0,"lorem002",1,58
"SLN202008210",1,3,"winkj002",7,58
"SLN202008210",1,6,"ervip001",8,58
"SLN202008210",0,0,"webbt001",1,61
"SLN202008210",1,0,"thort001",1,64
"SLN202008210",1,0,"garra001",1,70
"SLN202008210",1,9,"badeh001",8,72
"SLN202008220",1,0,"milew001",1,44
"SLN202008220",0,0,"kim-k001",1,47
"SLN202008220",0,0,"gantj002",1,54
"SLN202008220",0,0,"milla002",1,57
"SLN202008220",1,0,"antot001",1,60
"SLN202008220",0,3,"davim005",10,63
"SLN202008220",0,5,"ervip001",8,65
"SLN202008230",1,0,"mahlt001",1,35
"SLN202008230",0,0,"poncd001",1,44
"SLN202008230",0,6,"akiys001",8,50
"SLN202008230",0,7,"paytm001",7,51
"SLN202008230",1,6,"ervip001",11,53
"SLN202008230",1,7,"davim005",11,53
"SLN202008230",1,0,"lorem002",1,53
"SLN202008230",0,9,"barnt001",2,57
"SLN202008230",0,0,"cabrg001",1,59
"SLN202008230",1,9,"casac001",11,60
"SLN202008230",1,0,"thort001",1,60
"SLN202008230",0,0,"gantj002",1,67
"SLN202008230",1,0,"jonen001",1,70
"SLN202008230",0,0,"milla002",1,76
"SLN202008240",1,0,"kellb003",1,40
"SLN202008240",0,0,"flahj002",1,47
"SLN202008240",0,0,"reyea004",1,51
"SLN202008240",1,0,"hollg001",1,54
"SLN202008240",1,0,"adamc002",1,67
"SLN202008240",0,0,"gomba001",1,69
"SLN202008240",1,0,"rosar002",1,73
"SLN202008240",1,4,"carpm002",10,73
"SLN202008250",1,0,"harvm001",1,28
"SLN202008250",1,0,"newbj001",1,40
"SLN202008250",1,0,"hahnj001",1,47
"SLN202008250",1,0,"kenni001",1,53
"SLN202008250",0,0,"waina001",1,58
"SLN202008250",1,1,"merrw001",8,63
"SLN202008250",1,6,"mcbrr001",7,63
"SLN202008250",1,0,"stauj001",1,63
"SLN202008250",0,0,"gantj002",1,67
"SLN202008250",1,0,"barls001",1,72
"SLN202008260",1,0,"junij001",1,37
"SLN202008260",1,0,"newbj001",1,41
"SLN202008260",1,0,"hollg001",1,47
"SLN202008260",0,0,"hudsd002",1,52
"SLN202008260",1,0,"kenni001",1,55
"SLN202008260",0,9,"gallc001",2,59
"SLN202008260",0,0,"cabrg001",1,61
"SLN202008260",1,9,"mcbrr001",11,65
"SLN202008260",1,0,"barls001",1,65
"SLN202008260",1,6,"carpm002",5,67
"SLN202008260",1,0,"stauj001",1,69
"SLN202008260",0,2,"edmat001",9,71
"SLN202008260",0,6,"badeh001",12,71
"SLN202008260",0,9,"carld002",8,71
"SLN202008260",1,4,"ohear001",3,79
"SLN202008260",1,2,"dozih001",9,79
"SLN202008260",1,1,"merrw001",8,79
"SLN202008260",1,6,"badeh001",8,83
"SLN202008260",1,0,"roset001",1,84
"SLN202008271",0,0,"kim-k001",1,47
"SLN202008271",1,0,"kuhlc001",1,51
"SLN202008271",0,0,"gallg001",1,54
"SLN202008271",0,9,"craiw001",3,54
"SLN202008271",0,0,"gantj002",1,61
"SLN202008271",1,1,"gonze004",6,62
"SLN202008271",1,2,"tuckc001",8,62
"SLN202008271",1,3,"newmk001",4,62
"SLN202008271",1,7,"polag001",9,62
"SLN202008271",1,8,"osunj001",5,62
"SLN202008271",1,9,"dysoj001",12,62
"SLN202008271",1,0,"strac001",1,62
"SLN202008271",1,3,"goldp001",10,66
"SLN202008271",1,5,"oneit001",7,67
"SLN202008272",0,0,"oviej001",1,41
"SLN202008272",1,0,"poncc002",1,49
"SLN202008272",1,0,"hartg001",1,53
"SLN202008272",1,8,"schrm001",4,55
"SLN202008280",0,0,"poncd001",1,9
"SLN202008280",0,0,"woodj003",1,42
"SLN202008280",1,0,"mcket001",1,48
"SLN202008280",0,6,"moliy001",2,52
"SLN202008280",0,5,"carpm002",5,52
"SLN202008280",0,3,"goldp001",3,52
"SLN202008280",0,8,"fowld001",9,56
"SLN202008280",0,9,"carld002",8,56
"SLN202008280",0,0,"fernj006",1,56
"SLN202008280",1,0,"hillc001",1,61
"SLN202008280",1,3,"lindf001",6,61
"SLN202008280",1,1,"hernc005",4,61
"SLN202008280",0,5,"reyef001",10,69
"SLN202008280",0,0,"sancr003",1,76
"SLN202008280",0,4,"millb002",10,87
"SLN202008280",0,6,"schrm001",5,87
"SLN202008290",0,0,"flahj002",1,38
"SLN202008290",0,0,"cabrg001",1,46
"SLN202008290",0,7,"santd002",7,47
"SLN202008290",1,7,"deshd002",12,51
"SLN202008290",1,9,"alleg002",8,51
"SLN202008290",1,0,"carrc003",1,51
"SLN202008290",0,0,"gomba001",1,59
"SLN202008290",1,0,"karij001",1,60
"SLN202008290",1,0,"matop002",1,66
"SLN202008290",0,0,"gallg001",1,69
"SLN202008290",0,8,"leons001",2,70
"SLN202008290",1,8,"chany001",12,74
"SLN202008290",1,0,"pereo002",1,75
"SLN202008290",1,8,"oneit001",7,75
"SLN202008290",1,9,"badeh001",8,76
"SLN202008290",0,1,"edmat001",4,79
"SLN202008290",0,8,"wongk001",11,79
"SLN202008290",0,9,"carld002",11,79
"SLN202008290",0,0,"gantj002",1,79
"SLN202008290",0,5,"reyef001",10,86
"SLN202008290",1,0,"wittn001",1,90
"SLN202008300",1,0,"civaa001",1,54
"SLN202008300",0,2,"edmat001",7,58
"SLN202008300",0,7,"carpm002",5,58
"SLN202008300",0,9,"carld002",8,58
"SLN202008300",1,0,"hillc001",1,61
"SLN202008300",1,0,"cimba001",1,65
"SLN202009052",0,0,"gomba001",1,22
"SLN202009052",1,0,"rea-c001",1,26
"SLN202009052",1,0,"unded001",1,31
"SLN202009052",0,0,"helsr001",1,36
"SLN202009052",0,0,"cabrg001",1,42
"SLN202009052",0,0,"gantj002",1,53
"SLN202009052",0,9,"kipnj001",4,53
"SLN202009081",0,0,"martc006",1,30
"SLN202009081",0,1,"arral001",4,30
"SLN202009081",1,1,"gonzm002",12,32
"SLN202009081",1,0,"berrj001",1,50
"SLN202009081",0,0,"woodj003",1,55
"SLN202009081",1,0,"wislm001",1,60
"SLN202009081",1,9,"thoml002",9,62
"SLN202009082",1,0,"dobnr001",1,30
"SLN202009082",0,0,"poncd001",1,32
"SLN202009082",1,0,"thiec001",1,36
"SLN202009082",0,0,"cabrg001",1,40
"SLN202009082",1,0,"clipt001",1,45
"SLN202009082",1,4,"millb002",4,46
"SLN202009082",1,7,"carpm002",5,49
"SLN202009082",0,1,"edmat001",9,51
"SLN202009082",0,4,"wongk001",12,51
"SLN202009082",0,7,"thoml002",12,51
"SLN202009082",0,0,"gantj002",1,51
"SLN202009082",0,1,"wadel001",8,54
"SLN202009082",0,0,"milla002",1,54
"SLN202009082",1,1,"astuw001",11,55
"SLN202009082",1,0,"may-t001",1,55
"SLN202009082",1,0,"alcaj001",1,59
"SLN202009101",1,0,"skubt001",1,25
"SLN202009101",1,0,"jimej003",1,31
"SLN202009101",1,0,"burrb002",1,49
"SLN202009101",1,1,"reyev001",8,49
"SLN202009101",1,2,"schoj001",4,49
"SLN202009101",1,3,"goldp001",3,51
"SLN202009101",0,2,"edmat001",5,52
"SLN202009101",0,3,"deana001",11,52
"SLN202009101",0,4,"dejop001",6,52
"SLN202009101",0,0,"flahj002",1,52
"SLN202009101",0,0,"elles001",1,61
"SLN202009102",0,0,"gomba001",1,27
"SLN202009102",1,0,"zimmj003",1,31
"SLN202009102",1,0,"alext001",1,44
"SLN202009102",0,0,"reyea004",1,45
"SLN202009102",0,2,"edmat001",9,45
"SLN202009102",0,7,"carpm002",5,45
"SLN202009102",0,0,"cabrg001",1,48
"SLN202009102",0,0,"gantj002",1,54
"SLN202009102",0,0,"gallg001",1,57
"SLN202009102",0,3,"cabrm001",10,58
"SLN202009102",1,0,"cisnj001",1,62
"SLN202009110",0,0,"waina001",1,48
"SLN202009110",0,0,"elles001",1,54
"SLN202009110",0,0,"webbt001",1,60
"SLN202009120",1,0,"antot001",1,31
"SLN202009120",1,0,"simsl001",1,49
"SLN202009120",0,0,"hudsd002",1,55
"SLN202009120",0,0,"cabrg001",1,55
"SLN202009120",1,0,"garra001",1,58
"SLN202009120",0,2,"edmat001",9,62
"SLN202009120",0,6,"carpm002",5,62
"SLN202009120",0,7,"deana001",7,62
"SLN202009120",0,8,"barnt001",2,62
"SLN202009120",0,0,"webbt001",1,64
"SLN202009120",1,8,"stept001",11,66
"SLN202009120",0,0,"milla002",1,70
"SLN202009120",0,5,"goodb001",8,72
"SLN202009130",1,0,"mahlt001",1,32
"SLN202009130",0,8,"deana001",7,41
"SLN202009130",0,0,"martc006",1,41
"SLN202009130",1,0,"stepr002",1,46
"SLN202009130",0,0,"cabrg001",1,54
"SLN202009130",1,0,"jonen001",1,58
"SLN202009130",0,0,"reyea004",1,63
"SLN202009130",0,0,"gantj002",1,64
"SLN202009130",0,7,"goodb001",8,64
"SLN202009130",1,1,"akiys001",7,69
"SLN202009130",1,7,"aquia001",11,69
"SLN202009130",0,0,"milla002",1,72
"SLN202009130",1,6,"stept001",2,76
"SLN202009130",1,0,"brada001",1,76
"SLN202009130",0,0,"woodj003",1,79
"SLN202009182",0,0,"poncd001",1,40
"SLN202009182",1,0,"kuhlc001",1,46
"SLN202009182",1,4,"millb002",5,48
"SLN202009182",0,2,"edmat001",9,52
"SLN202009182",0,4,"badeh001",12,52
"SLN202009182",0,8,"carld002",8,52
"SLN202009182",0,0,"milla002",1,52
"SLN202009182",0,9,"martj009",8,56
"SLN202009240",1,0,"burnc002",1,37
"SLN202009240",0,0,"kim-k001",1,49
"SLN202009240",1,0,"yarde001",1,52
"SLN202009240",1,0,"knebc001",1,56
"SLN202009240",0,0,"gallg001",1,57
"SLN202009240",0,9,"carld002",8,66
"SLN202009240",0,8,"fowld001",9,66
"SLN202009240",0,4,"carpm002",5,66
"SLN202009240",0,2,"edmat001",7,66
"SLN202009240",0,0,"cabrg001",1,67
"SLN202009240",1,0,"topaj001",1,70
"SLN202009240",0,6,"taylt002",9,74
"SLN202009240",0,8,"urial001",5,76
