"GAME_ID","GAME_DT","GAME_CT","START_GAME_TM","DH_FL","DAYNIGHT_PARK_CD","AWAY_TEAM_ID","HOME_TEAM_ID","PARK_ID","BASE4_UMP_ID","BASE1_UMP_ID","BASE2_UMP_ID","ATTEND_PARK_CT","SCORER_RECORD_ID","METHOD_RECORD_CD","PITCHES_RECORD_CD","TEMP_PARK_CT","WIND_DIRECTION_PARK_CD","WIND_SPEED_PARK_CT","FIELD_PARK_CD","PRECIP_PARK_CD","SKY_PARK_CD","MINUTES_GAME_CT","WIN_PIT_ID","LOSE_PIT_ID","SAVE_PIT_ID"
"TBA202007240","20200724",0,640,"T","N","TOR","TBA","STP01","westj901","wendh902","carav901",0,"",0,1,74,0,0,0,1,5,207,"romaj004","mortc002","gilek001"
"TBA202007250","20200725",0,310,"T","D","TOR","TBA","STP01","wendh902","carav901","sches901",0,"",0,1,72,0,0,0,1,5,167,"anden001","gavis001","drako001"
"TBA202007260","20200726",0,110,"T","D","TOR","TBA","STP01","carav901","sches901","westj901",0,"",0,1,71,0,0,0,1,5,235,"roe-c001","yamas001",""
"TBA202007270","20200727",0,640,"T","N","ATL","TBA","STP01","addir901","nauep901","fairc901",0,"",0,1,72,0,0,0,1,5,183,"castd002","foltm001",""
"TBA202007280","20200728",0,640,"T","N","ATL","TBA","STP01","nauep901","fairc901","torrc901",0,"",0,1,72,0,0,0,1,5,183,"fairp001","wrigk001","drako001"
"TBA202008040","20200804",0,640,"T","N","BOS","TBA","STP01","roser901","westj901","sches901",0,"",0,1,77,0,0,0,1,5,194,"mortc002","eovan001","anden001"
"TBA202008050","20200805",0,640,"T","N","BOS","TBA","STP01","westj901","sches901","wendh902",0,"",0,1,72,0,0,0,1,5,185,"perem004","yarbr001",""
"TBA202008070","20200807",0,640,"T","N","NYA","TBA","STP01","sches901","wendh902","carav901",0,"",0,1,72,0,0,0,1,5,172,"roe-c001","ottaa001",""
"TBA202008081","20200808",1,210,"T","D","NYA","TBA","STP01","wendh902","roser901","westj901",0,"",0,1,72,0,0,0,1,5,172,"greec003","glast001",""
"TBA202008082","20200808",2,333,"T","D","NYA","TBA","STP01","carav901","westj901","sches901",0,"",0,1,72,0,0,0,1,5,167,"fairp001","kingm002","anden001"
"TBA202008090","20200809",0,110,"T","D","NYA","TBA","STP01","westj901","sches901","wendh902",0,"",0,1,72,0,0,0,1,5,188,"thomr007","britz001",""
"TBA202008210","20200821",0,640,"T","N","TOR","TBA","STP01","fostm901","barbs901","arrid901",0,"",0,1,72,0,0,0,1,5,211,"hatct001","loupa001","romaj004"
"TBA202008220","20200822",0,640,"T","N","TOR","TBA","STP01","barbs901","ticht901","roser901",0,"",0,1,72,0,0,0,1,5,201,"banda001","bassa001",""
"TBA202008230","20200823",0,110,"T","D","TOR","TBA","STP01","ticht901","roser901","fostm901",0,"",0,1,72,0,0,0,1,5,194,"flemj001","borur001","curtj003"
"TBA202008240","20200824",0,310,"T","D","TOR","TBA","STP01","roser901","fostm901","barbs901",0,"",0,1,72,0,0,0,1,5,209,"hatct001","loupa001","romaj004"
"TBA202008250","20200825",0,640,"T","N","BAL","TBA","STP01","fostm901","barbs901","ticht901",0,"",0,1,72,0,0,0,1,5,161,"glast001","milot001","garce001"
"TBA202008260","20200826",0,640,"T","N","BAL","TBA","STP01","barbs901","ticht901","porta901",0,"",0,1,72,0,0,0,1,5,206,"sherr001","givem001","castd002"
"TBA202009040","20200904",0,640,"T","N","MIA","TBA","STP01","fostm901","barbs901","porta901",0,"",0,1,72,0,0,0,1,5,177,"flemj001","lopep002","anden001"
"TBA202009050","20200905",0,640,"T","N","MIA","TBA","STP01","barbs901","porta901","wegnm901",0,"",0,1,72,0,0,0,1,5,196,"alcas001","snelb001","kintb001"
"TBA202009060","20200906",0,110,"T","D","MIA","TBA","STP01","porta901","wegnm901","fostm901",0,"",0,1,72,0,0,0,1,5,198,"curtj003","kintb001",""
"TBA202009100","20200910",0,640,"T","N","BOS","TBA","STP01","iassd901","gibsh902","may-b901",0,"",0,1,72,0,0,0,1,5,202,"weber001","fairp001","barnm001"
"TBA202009110","20200911",0,640,"T","N","BOS","TBA","STP01","gibsh902","may-b901","fleta901",0,"",0,1,72,0,0,0,1,5,217,"snelb001","hallm002",""
"TBA202009120","20200912",0,640,"T","N","BOS","TBA","STP01","may-b901","fleta901","iassd901",0,"",0,1,72,0,0,0,1,5,157,"glast001","waldm002","castd002"
"TBA202009130","20200913",0,110,"T","D","BOS","TBA","STP01","fleta901","iassd901","gibsh902",0,"",0,1,72,0,0,0,1,5,191,"perem004","fairp001","barnm001"
"TBA202009150","20200915",0,640,"T","N","WAS","TBA","STP01","iassd901","gibsh902","(none)",0,"",0,1,72,0,0,0,1,5,188,"yarbr001","sanca004","anden001"
"TBA202009160","20200916",0,110,"T","D","WAS","TBA","STP01","gibsh902","may-b901","vondc901",0,"",0,1,72,0,0,0,1,5,211,"hudsd001","anden001","mcgok002"
"TBA202009172","20200917",2,751,"T","N","BAL","TBA","BAL12","vondc901","iassd901","gibsh902",0,"",0,1,70,8,2,0,1,2,158,"fairp001","sulsc001",""
"TBA202009250","20200925",0,640,"T","N","PHI","TBA","STP01","conrc901","vanol901","rackd901",0,"",0,1,72,0,0,0,1,5,188,"anden001","morga001","curtj003"
"TBA202009260","20200926",0,707,"T","N","PHI","TBA","STP01","vanol901","rackd901","barkl901",0,"",0,1,72,0,0,0,1,5,173,"fairp001","wheez001","slega001"
"TBA202009270","20200927",0,310,"T","D","PHI","TBA","STP01","rackd901","barkl901","conrc901",0,"",0,1,72,0,0,0,1,5,179,"flemj001","nolaa001",""
