"GAME_ID","BAT_HOME_ID","SUB_LINEUP_ID","REMOVED_ID","REMOVED_FLD_CD","EVENT_ID"
"TBA202007240",0,0,"mortc002",1,37
"TBA202007240",1,0,"ryu-h001",1,45
"TBA202007240",1,6,"brosm001",4,46
"TBA202007240",0,6,"loweb001",11,47
"TBA202007240",1,0,"romaj004",1,55
"TBA202007240",0,0,"thomr007",1,56
"TBA202007240",1,0,"bassa001",1,66
"TBA202007240",1,9,"zunim001",2,70
"TBA202007240",0,1,"diazy001",3,73
"TBA202007240",0,9,"choij001",11,73
"TBA202007240",0,0,"beekj001",1,73
"TBA202007240",1,8,"fishd001",7,77
"TBA202007240",1,0,"dolir001",1,77
"TBA202007250",0,0,"yarbr001",1,38
"TBA202007250",1,9,"perem005",2,42
"TBA202007250",0,9,"brosm001",12,46
"TBA202007250",0,0,"roe-c001",1,46
"TBA202007250",0,9,"espis001",5,48
"TBA202007250",0,0,"fairp001",1,51
"TBA202007250",1,9,"panij002",11,52
"TBA202007250",1,0,"shoem001",1,52
"TBA202007250",1,0,"colea002",1,59
"TBA202007250",1,9,"zunim001",2,61
"TBA202007250",1,0,"gavis001",1,65
"TBA202007250",0,2,"loweb001",7,67
"TBA202007250",0,3,"diazy001",5,67
"TBA202007250",0,5,"wendj002",4,67
"TBA202007250",0,6,"margm001",9,67
"TBA202007250",0,9,"renfh001",12,67
"TBA202007250",0,0,"anden001",1,67
"TBA202007260",0,0,"snelb001",1,21
"TBA202007260",1,0,"hatct001",1,26
"TBA202007260",0,9,"alfoa002",7,46
"TBA202007260",0,0,"richt001",1,46
"TBA202007260",1,9,"gurrl001",11,50
"TBA202007260",1,0,"kay-a001",1,52
"TBA202007260",1,6,"hernt002",9,52
"TBA202007260",1,5,"gricr001",8,52
"TBA202007260",1,0,"romaj004",1,62
"TBA202007260",1,9,"zunim001",2,65
"TBA202007260",0,0,"kitta001",1,67
"TBA202007260",0,9,"tsuty001",11,67
"TBA202007260",0,7,"renfh001",9,67
"TBA202007260",0,6,"margm001",7,67
