"GAME_ID","GAME_DT","GAME_CT","START_GAME_TM","DH_FL","DAYNIGHT_PARK_CD","AWAY_TEAM_ID","HOME_TEAM_ID","PARK_ID","BASE4_UMP_ID","BASE1_UMP_ID","BASE2_UMP_ID","ATTEND_PARK_CT","SCORER_RECORD_ID","METHOD_RECORD_CD","PITCHES_RECORD_CD","TEMP_PARK_CT","WIND_DIRECTION_PARK_CD","WIND_SPEED_PARK_CT","FIELD_PARK_CD","PRECIP_PARK_CD","SKY_PARK_CD","MINUTES_GAME_CT","WIN_PIT_ID","LOSE_PIT_ID","SAVE_PIT_ID"
"TEX202007240","20200724",0,705,"T","N","COL","TEX","ARL03","reynj901","wolfj901","barrl901",0,"",0,1,72,0,0,0,1,5,177,"lynnl001","marqg001","leclj001"
"TEX202007250","20200725",0,305,"T","D","COL","TEX","ARL03","wolfj901","barrl901","libkj901",0,"",0,1,72,0,0,0,1,5,214,"bardd001","minom001","daviw001"
"TEX202007260","20200726",0,135,"T","D","COL","TEX","ARL03","barrl901","libkj901","reynj901",0,"",0,1,72,0,5,0,1,5,185,"freek001","paluj001","daviw001"
"TEX202007280","20200728",0,805,"T","N","ARI","TEX","ARL03","barrt901","johna901","rippm901",0,"",0,1,72,0,1,0,1,5,190,"kellm002","gibsk002","brada001"
"TEX202007290","20200729",0,305,"T","D","ARI","TEX","ARL03","johna901","rippm901","wolcq901",0,"",0,1,72,0,0,0,1,5,207,"hernj004","chafa001","goodn001"
"TEX202008070","20200807",0,805,"T","N","ANA","TEX","ARL03","eddid901","millb901","tomln901",0,"",0,1,72,0,0,0,1,5,218,"lylej001","canng001","montr004"
"TEX202008080","20200808",0,605,"T","N","ANA","TEX","ARL03","millb901","tomln901","mosce901",0,"",0,1,72,0,0,0,1,5,166,"volqe001","sandp002","montr004"
"TEX202008090","20200809",0,135,"T","D","ANA","TEX","ARL03","tomln901","mosce901","eddid901",0,"",0,1,72,0,0,0,1,5,216,"lynnl001","heana001",""
"TEX202008100","20200810",0,805,"T","N","SEA","TEX","ARL03","mosce901","drakr901","millb901",0,"",0,1,95,0,10,0,1,1,198,"dunnj002","gibsk002",""
"TEX202008110","20200811",0,805,"T","N","SEA","TEX","ARL03","drakr901","millb901","tomln901",0,"",0,1,72,0,0,0,1,5,176,"volqe001","gonzm005","montr004"
"TEX202008120","20200812",0,805,"T","N","SEA","TEX","ARL03","millb901","tomln901","mosce901",0,"",0,1,72,0,1,0,1,5,189,"hernj004","swane001","montr004"
"TEX202008170","20200817",0,805,"T","N","SDN","TEX","ARL03","cejan901","blasc901","marqa901",0,"",0,1,72,0,0,0,1,5,187,"daviz001","lylej001",""
"TEX202008180","20200818",0,305,"T","D","SDN","TEX","ARL03","blasc901","marqa901","guccc901",0,"",0,1,75,0,0,0,1,5,216,"stamc001","minom001","quanc001"
"TEX202008240","20200824",0,705,"T","N","OAK","TEX","ARL03","barrl901","morag901","libkj901",0,"",0,1,72,0,0,0,1,5,172,"lynnl001","luzaj001","montr004"
"TEX202008250","20200825",0,705,"T","N","OAK","TEX","ARL03","morag901","libkj901","johna901",0,"",0,1,72,0,0,0,1,5,195,"manas001","gibsk002",""
"TEX202008260","20200826",0,705,"T","N","OAK","TEX","ARL03","libkj901","johna901","barrl901",0,"",0,1,72,0,0,0,1,5,188,"fierm001","allak001","hendl001"
"TEX202008280","20200828",0,705,"T","N","LAN","TEX","ARL03","tomln901","hamaa901","knigb901",0,"",0,1,72,0,0,0,1,5,190,"hernj004","mcgej001",""
"TEX202008290","20200829",0,605,"T","N","LAN","TEX","ARL03","hamaa901","hudsm901","muchm901",0,"",0,1,72,0,0,0,1,5,216,"treib001","lynnl001","jansk001"
"TEX202008300","20200830",0,135,"T","D","LAN","TEX","ARL03","hudsm901","muchm901","tomln901",0,"",0,1,72,0,0,0,1,5,220,"alexs001","gibsk002",""
"TEX202009080","20200908",0,705,"T","N","ANA","TEX","ARL03","hudsm901","knigb901","muchm901",0,"",0,1,72,0,0,0,1,5,172,"lynnl001","heana001",""
"TEX202009090","20200909",0,705,"T","N","ANA","TEX","ARL03","knigb901","muchm901","woodt901",0,"",0,1,74,0,0,0,1,5,218,"kingj002","tehej001",""
"TEX202009100","20200910",0,305,"T","D","ANA","TEX","ARL03","muchm901","woodt901","hudsm901",0,"",0,1,72,0,0,0,1,5,184,"bundd001","gibsk002",""
"TEX202009110","20200911",0,705,"T","N","OAK","TEX","ARL03","woodt901","hudsm901","knigb901",0,"",0,1,76,2,3,0,1,2,202,"fierm001","garcl005",""
