"GAME_ID","INN_CT","BAT_HOME_ID","BALLS_CT","STRIKES_CT","PITCH_SEQ_TX","BAT_ID","EVENT_TX","EVENT_ID"
"TEX202007240",1,0,3,2,"CFBBBS","dahld001","K",1
"TEX202007240",1,0,3,1,"BBBCB","stort001","W",2
"TEX202007240",1,0,0,2,"CFS","blacc001","K",3
"TEX202007240",1,0,0,1,"C>B","arenn001","SB2",4
"TEX202007240",1,0,1,1,"C>B.B","arenn001","PB.2-3",5
"TEX202007240",1,0,3,2,"C>B.B.BTX","arenn001","2/P/FL",6
"TEX202007240",1,1,2,1,"BSBX","choos001","7/F",7
"TEX202007240",1,1,2,2,"BFSBS","andre001","K",8
"TEX202007240",1,1,0,2,"SFS","santd001","K",9
"TEX202007240",2,0,0,1,"CX","murpd006","8/F",10
"TEX202007240",2,0,3,2,"BSBBFC","mcmar001","K",11
"TEX202007240",2,0,3,1,"BBBCB","tapir001","W",12
"TEX202007240",2,0,2,2,"FBSBS","hills005","K",13
"TEX202007240",2,1,0,0,"X","gallj002","6/P+",14
"TEX202007240",2,1,1,1,"CBX","odorr001","13/G-",15
"TEX202007240",2,1,1,2,"SSBFFX","frazt001","53/G",16
"TEX202007240",3,0,2,2,"BFFBFT","woltt001","K",17
"TEX202007240",3,0,0,2,"FCFX","dahld001","S7/F",18
"TEX202007240",3,0,3,2,"BCBFB>B","stort001","W.1-2",19
"TEX202007240",3,0,0,1,"FX","blacc001","9/F",20
"TEX202007240",3,0,2,1,"B*BCX","arenn001","4/P",21
"TEX202007240",3,1,1,2,"FCFBS","chirr001","K",22
"TEX202007240",3,1,2,1,"BBSX","solan001","53/G",23
"TEX202007240",3,1,3,2,"CCBBBB","kinei001","W",24
"TEX202007240",3,1,2,2,"BFBSC","choos001","K",25
"TEX202007240",4,0,3,2,"CBFBBFB","murpd006","W",26
"TEX202007240",4,0,2,2,"BB.FFFFFS","mcmar001","K",27
"TEX202007240",4,0,2,2,"BSSBX","tapir001","6/L",28
"TEX202007240",4,0,2,2,"BBCF*S","hills005","K.BX1(23)",29
"TEX202007240",4,1,1,2,"CFFBX","andre001","8/L",30
"TEX202007240",4,1,2,0,"BBX","santd001","7/F",31
"TEX202007240",4,1,2,2,".FBBCX","gallj002","E6/G.B-1",32
"TEX202007240",4,1,3,0,"BBBB","odorr001","W.1-2",33
"TEX202007240",4,1,3,1,"CBB+1BB","frazt001","W.2-3;1-2",34
"TEX202007240",4,1,1,0,".BX","chirr001","43/G",35
"TEX202007240",5,0,1,1,"BFX","woltt001","3/L+",36
"TEX202007240",5,0,1,2,"SBFX","dahld001","D9/L+",37
"TEX202007240",5,0,1,2,"SBCC","stort001","K",38
"TEX202007240",5,0,1,1,"*BFX","blacc001","7/F",39
"TEX202007240",5,1,2,1,"BCBX","solan001","6/P",40
"TEX202007240",5,1,1,1,"SBX","kinei001","43/G",41
"TEX202007240",5,1,1,2,"SBFS","choos001","K",42
