"GAME_ID","BAT_HOME_ID","SUB_LINEUP_ID","REMOVED_ID","REMOVED_FLD_CD","EVENT_ID"
"TEX202007240",1,0,"marqg001",1,50
"TEX202007240",0,0,"lynnl001",1,51
"TEX202007240",0,0,"chavj001",1,58
"TEX202007240",1,0,"estec001",1,63
"TEX202007240",0,3,"santd001",8,66
"TEX202007240",0,8,"solan001",7,66
"TEX202007240",0,0,"hernj004",1,66
"TEX202007240",0,9,"woltt001",2,69
"TEX202007250",1,0,"grayj003",1,41
"TEX202007250",0,0,"minom001",1,42
"TEX202007250",0,0,"farrl001",1,54
"TEX202007250",1,0,"bardd001",1,57
"TEX202007250",1,9,"mathj001",2,58
"TEX202007250",0,9,"solan001",11,63
"TEX202007250",0,0,"goodn001",1,63
"TEX202007250",1,0,"estec001",1,66
"TEX202007250",0,0,"gibai001",1,72
"TEX202007250",1,0,"diazj006",1,77
"TEX202007260",0,0,"klubc001",1,7
"TEX202007260",0,0,"paluj001",1,29
"TEX202007260",0,0,"chavj001",1,40
"TEX202007260",0,0,"goodn001",1,44
"TEX202007260",1,0,"freek001",1,51
"TEX202007260",0,0,"gibai001",1,54
"TEX202007260",1,9,"refsr001",3,58
"TEX202007260",0,2,"solan001",7,62
"TEX202007260",0,9,"choos001",11,62
"TEX202007260",0,0,"hernj004",1,62
"TEX202007260",0,5,"murpd006",3,63
"TEX202007260",1,5,"owinc001",12,68
"TEX202007260",1,6,"mcmar001",4,68
"TEX202007260",1,0,"almoy001",1,68
"TEX202007280",0,0,"gibsk002",1,40
"TEX202007280",0,0,"gibai001",1,50
"TEX202007280",1,0,"kellm002",1,65
"TEX202007280",0,0,"lylej001",1,66
"TEX202007280",1,0,"chafa001",1,71
"TEX202007290",1,0,"bumgm001",1,45
"TEX202007290",0,0,"lynnl001",1,48
"TEX202007290",1,0,"crics001",1,54
"TEX202007290",0,0,"chavj001",1,59
"TEX202007290",0,2,"calhk001",9,61
"TEX202007290",1,2,"locat001",12,65
"TEX202007290",1,8,"jay-j001",8,65
"TEX202007290",1,0,"ginkk001",1,65
"TEX202007290",1,0,"chafa001",1,68
"TEX202007290",1,6,"garca005",7,68
"TEX202007290",1,8,"heins001",8,70
"TEX202007290",1,0,"rondh001",1,76
"TEX202007290",0,4,"gallj002",9,77
"TEX202007290",0,6,"choos001",11,77
"TEX202007290",0,8,"calhw001",11,77
"TEX202007290",0,0,"hernj004",1,77
"TEX202008070",1,7,"castj006",2,14
"TEX202008070",1,0,"canng001",1,40
"TEX202008070",0,0,"lylej001",1,51
"TEX202008070",1,0,"mayem001",1,53
"TEX202008070",1,0,"barnj002",1,57
"TEX202008070",0,0,"martb002",1,59
"TEX202008070",0,0,"gibai001",1,62
"TEX202008070",1,0,"milnh001",1,66
