"GAME_ID","GAME_DT","GAME_CT","START_GAME_TM","DH_FL","DAYNIGHT_PARK_CD","AWAY_TEAM_ID","HOME_TEAM_ID","PARK_ID","BASE4_UMP_ID","BASE1_UMP_ID","BASE2_UMP_ID","ATTEND_PARK_CT","SCORER_RECORD_ID","METHOD_RECORD_CD","PITCHES_RECORD_CD","TEMP_PARK_CT","WIND_DIRECTION_PARK_CD","WIND_SPEED_PARK_CT","FIELD_PARK_CD","PRECIP_PARK_CD","SKY_PARK_CD","MINUTES_GAME_CT","WIN_PIT_ID","LOSE_PIT_ID","SAVE_PIT_ID"
"TOR202007290","20200729",0,605,"T","N","WAS","TOR","WAS11","sches901","westj901","wendh902",0,"",0,1,92,2,6,0,1,1,213,"hudsd001","yamas001",""
"TOR202007300","20200730",0,405,"T","D","WAS","TOR","WAS11","westj901","wendh902","carav901",0,"",0,1,95,1,4,0,1,2,215,"harpr001","ryu-h001","hudsd001"
"TOR202008110","20200811",0,637,"T","N","MIA","TOR","BUF05","hoyej901","ortir901","whitc901",0,"",0,1,77,8,19,0,1,2,200,"colea002","tarps001",""
"TOR202008120","20200812",0,637,"T","N","MIA","TOR","BUF05","ortir901","whitc901","carlm901",0,"",0,1,81,4,8,0,1,2,260,"kintb001","dolir001","smitj004"
"TOR202008140","20200814",0,637,"T","N","TBA","TOR","BUF05","sches901","wendh902","carav901",0,"",0,1,83,4,15,0,1,2,189,"fontw001","thomr007",""
"TOR202008150","20200815",0,107,"T","D","TBA","TOR","BUF05","wendh902","carav901","millb903",0,"",0,1,82,2,7,0,1,2,217,"loupa001","romaj004","anden001"
"TOR202008160","20200816",0,107,"T","D","TBA","TOR","BUF05","carav901","riggj901","sches901",0,"",0,1,77,3,11,0,1,2,174,"loupa001","fontw001","slega001"
"TOR202008201","20200820",1,107,"T","D","PHI","TOR","BUF05","millb903","riggj901","sches901",0,"",0,1,73,1,14,0,1,2,163,"romaj004","guerd001",""
"TOR202008202","20200820",2,432,"T","D","PHI","TOR","BUF05","carav901","sches901","wendh902",0,"",0,1,75,1,12,0,1,1,186,"kay-a001","nerih001","colea002"
"TOR202008250","20200825",0,637,"T","N","BOS","TOR","BUF05","iassd901","gibsh902","ramoc901",0,"",0,1,80,6,10,0,1,1,222,"valdp002","fontw001","barnm001"
