"GAME_ID","INN_CT","BAT_HOME_ID","BALLS_CT","STRIKES_CT","PITCH_SEQ_TX","BAT_ID","EVENT_TX","EVENT_ID"
"TOR202007290",1,0,1,2,"CBSS","turnt001","K",1
"TOR202007290",1,0,3,0,"BBBB","eatoa002","W",2
"TOR202007290",1,0,0,1,"S>*B","cabra002","SB2",3
"TOR202007290",1,0,1,2,"S>*B.FFX","cabra002","3/G3.2-3",4
"TOR202007290",1,0,1,2,"BCFX","thame001","7/L78D",5
"TOR202007290",1,1,3,2,"BSSBBB","hernt002","W",6
"TOR202007290",1,1,2,1,"BF1BX","biggc002","36(1)3/GDP/G3",7
"TOR202007290",1,1,2,2,"TSBFBS","gurrl001","K",8
"TOR202007290",2,0,0,2,"CSX","suzuk001","53/G56D",9
"TOR202007290",2,0,1,2,"CFBFX","casts001","63/G56",10
"TOR202007290",2,0,3,2,"BBCBSS","kiebc001","K",11
"TOR202007290",2,1,3,1,"BBBCX","guerv002","9/F89",12
"TOR202007290",2,1,1,2,"BCFX","tellr001","S6/G56",13
"TOR202007290",2,1,0,2,"CFS","jansd001","K",14
"TOR202007290",2,1,0,0,"X","panij002","43/G4",15
"TOR202007290",3,0,0,0,"X","steva001","7/F78XD",16
"TOR202007290",3,0,1,1,"CBX","roblv001","3/P34",17
"TOR202007290",3,0,2,2,"CSBBX","turnt001","S6/G56",18
"TOR202007290",3,0,3,1,"1BBBCB","eatoa002","W.1-2",19
"TOR202007290",3,0,1,1,"C*BX","cabra002","41/G34",20
"TOR202007290",3,1,0,2,"CCS","espis001","K",21
"TOR202007290",3,1,0,1,"CX","fishd001","D7/L78XD+",22
"TOR202007290",3,1,0,2,"SS*S","hernt002","K",23
"TOR202007290",3,1,3,2,"BCFBB*B","biggc002","W",24
"TOR202007290",3,1,1,1,"BCX","gurrl001","63/G56+",25
"TOR202007290",4,0,1,1,"CBX","thame001","D9/L9L",26
"TOR202007290",4,0,2,0,"BBX","suzuk001","43/G4M.2-3",27
"TOR202007290",4,0,1,0,"*BX","casts001","4/L4M",28
"TOR202007290",4,0,0,2,"CSC","kiebc001","K",29
"TOR202007290",4,1,3,2,"CBSBBC","guerv002","K",30
"TOR202007290",4,1,3,2,"BBBSFX","tellr001","7/F7",31
"TOR202007290",4,1,1,2,"SSBS","jansd001","K",32
"TOR202007290",5,0,1,2,"CSBS","steva001","K",33
"TOR202007290",5,0,3,2,"SBSBFFFBS","roblv001","K",34
"TOR202007290",5,0,0,2,"SFX","turnt001","9/F9",35
"TOR202007290",5,1,2,2,"CFBBX","panij002","53/G4M+",36
"TOR202007290",5,1,0,2,"SCT","espis001","K",37
"TOR202007290",5,1,2,2,"CFBBC","fishd001","K",38
"TOR202007290",6,0,2,2,".BFFBFX","eatoa002","63/G6",39
"TOR202007290",6,0,0,0,"X","cabra002","9/F9L",40
"TOR202007290",6,0,1,2,"FBSS","thame001","K",41
"TOR202007290",6,1,1,2,"CFBFS","hernt002","K",42
"TOR202007290",6,1,3,2,"BSCFBBX","biggc002","43/G34",43
"TOR202007290",6,1,0,0,"X","gurrl001","13/G1S-",44
"TOR202007290",7,0,3,2,".CFBFBBX","suzuk001","9/F9",45
"TOR202007290",7,0,3,2,"CBBBFB","casts001","W",46
"TOR202007290",7,0,0,0,"X","kiebc001","S8/L8+.1-2",47
"TOR202007290",7,0,3,2,".BFLBFBX","steva001","7/L7D",48
"TOR202007290",7,0,2,2,"..BCBCS","roblv001","K",49
"TOR202007290",7,1,0,0,"X","guerv002","63/G6+",50
"TOR202007290",7,1,1,0,"BX","tellr001","43/G34D+",51
"TOR202007290",7,1,3,2,"BBSFBFX","jansd001","43/G6M",52
"TOR202007290",8,0,2,1,"CBBX","turnt001","13/G6MS",53
"TOR202007290",8,0,2,2,"FFBBF*S","eatoa002","K",54
"TOR202007290",8,0,1,2,"BCSS","cabra002","K",55
"TOR202007290",8,1,0,2,"FCX","panij002","S8/G6M",56
"TOR202007290",8,1,1,0,".1B>M","espis001","SB2",57
"TOR202007290",8,1,2,2,".1B>M.BLL","espis001","K",58
"TOR202007290",8,1,0,0,"2","fishd001","PO2(E1/TH).2-3",59
"TOR202007290",8,1,3,2,"2.SSBBB*B","fishd001","W",60
"TOR202007290",8,1,2,2,"..CCBBX","hernt002","64(1)3/GDP/G6+",61
"TOR202007290",9,0,1,2,"..FCBX","thame001","63/G4M+",62
"TOR202007290",9,0,2,2,"BSSBX","suzuk001","53/G56",63
"TOR202007290",9,0,1,2,"CCBX","casts001","63/G56D",64
"TOR202007290",9,1,0,2,"FSC","biggc002","K",65
"TOR202007290",9,1,3,2,"CBBCFBS","gurrl001","K",66
"TOR202007290",9,1,2,2,"BBCFFS","guerv002","K",67
"TOR202007290",10,0,3,2,"...BFS*BFBFFB","kiebc001","W",68
"TOR202007290",10,0,3,2,".BCB+2*BFB","steva001","W.2-3;1-2",69
"TOR202007290",10,0,1,2,"FFBS","roblv001","K",70
"TOR202007290",10,0,3,2,"CBBFBS","turnt001","K",71
"TOR202007290",10,0,0,0,"X","eatoa002","S14/G4MS+.3-H(UR);2-3;1-2",72
"TOR202007290",10,0,3,1,".BBBCX","cabra002","T39/G3.3-H;2-H;1-H",73
"TOR202007290",10,0,1,1,"BFX","thame001","7/L7D",74
"TOR202007290",10,1,3,2,"....BBFFFBFC","tellr001","K/C",75
"TOR202007290",10,1,0,2,"...STS","jansd001","K",76
"TOR202007290",10,1,3,2,"CCBBBS","drurb001","K+WP.2-3;B-1",77
"TOR202007290",10,1,2,1,"S*BB>B","espis001","DI.1-2",78
"TOR202007290",10,1,3,2,"S*BB>B.FX","espis001","8/F89S",79
"TOR202007300",1,0,2,2,"CBBSX","turnt001","9/F9",1
"TOR202007300",1,0,1,2,"SFBS","eatoa002","K",2
"TOR202007300",1,0,3,2,"BBCFBFFFFFFX","casts001","S7/G56+",3
"TOR202007300",1,0,2,1,"BCBX","cabra002","64(1)/FO/G4MD.B-1",4
"TOR202007300",1,1,0,1,"F..X","bichb001","D9/L9LD+",5
"TOR202007300",1,1,0,0,"X","biggc002","43/G34D.2-3",6
"TOR202007300",1,1,3,1,"BF*BBX","gurrl001","S5/P7S.3-H",7
"TOR202007300",1,1,1,2,"CC*B1X","guerv002","14(1)/FO/G4S.B-1",8
"TOR202007300",1,1,2,1,"BFBX","tellr001","53/G4MD+",9
"TOR202007300",2,0,0,0,"X","suzuk001","6/L56D+",10
"TOR202007300",2,0,0,2,"CFS","harrj002","K",11
"TOR202007300",2,0,3,2,"BCFBFFBB","kiebc001","W",12
"TOR202007300",2,0,1,0,"BX","roblv001","S8/L8D.1-3;B-2",13
"TOR202007300",2,0,1,2,"CBSS","taylm002","K",14
"TOR202007300",2,1,1,0,"BX","hernt002","S9/G4",15
"TOR202007300",2,1,2,1,"TB11B>C","fishd001","CS2(25)",16
"TOR202007300",2,1,3,2,"TB11B>C.BX","fishd001","43/G34",17
"TOR202007300",2,1,3,2,"CBFBFBB","jansd001","W",18
"TOR202007300",2,1,1,1,"CBX","drurb001","9/L9D",19
"TOR202007300",3,0,1,1,"..FBX","turnt001","4/P34D",20
"TOR202007300",3,0,0,1,"CX","eatoa002","S8/G4M+",21
"TOR202007300",3,0,0,0,"1X","casts001","S8/L89.1-2",22
"TOR202007300",3,0,2,1,"BBCX","cabra002","9/F89D.2-3",23
"TOR202007300",3,0,0,1,"CX","suzuk001","D9/L89XD.3-H;1-H",24
"TOR202007300",3,0,0,1,"SX","harrj002","7/F78D",25
"TOR202007300",3,1,2,1,"FBBX","bichb001","9/F9LD",26
"TOR202007300",3,1,1,0,"BX","biggc002","3/L3",27
"TOR202007300",3,1,0,1,"FX","gurrl001","S8/L8D+",28
"TOR202007300",3,1,3,1,"BBBFX","guerv002","64(1)/FO/G56D+.B-1",29
"TOR202007300",4,0,0,0,"..X","kiebc001","S7/L78D",30
"TOR202007300",4,0,1,2,"CL*BS","roblv001","K",31
"TOR202007300",4,0,1,2,"1FFFBX","taylm002","HR/F8XD.1-H",32
"TOR202007300",4,0,3,2,"CBBFBX","turnt001","43/G4D",33
"TOR202007300",4,0,0,2,"CFFFFX","eatoa002","4/P89S",34
"TOR202007300",4,1,0,0,"X","tellr001","53/G4MD+",35
"TOR202007300",4,1,0,0,"X","hernt002","HR/F8D",36
"TOR202007300",4,1,1,0,"BX","panij002","S9/L+",37
"TOR202007300",4,1,3,2,".SBB1BC>B","jansd001","W.1-2",38
"TOR202007300",4,1,0,2,"..CCFX","drurb001","53/G6S.2-3;1-2",39
"TOR202007300",4,1,0,2,"*SF*S","bichb001","K.BX1(23)",40
"TOR202007300",5,0,1,1,"CBX","casts001","D7/L7LD",41
"TOR202007300",5,0,2,2,"CBCFBX","cabra002","D9/L9D.2-H",42
"TOR202007300",5,0,2,2,"CBF*BC","suzuk001","K",43
"TOR202007300",5,0,0,0,"..X","harrj002","8/F78",44
"TOR202007300",5,0,3,2,"*BBCSFBB","kiebc001","W",45
"TOR202007300",5,0,2,2,"FBBCX","roblv001","8/L78XD",46
"TOR202007300",5,1,3,2,".BBCSBX","biggc002","9/F9LD",47
"TOR202007300",5,1,0,2,"CCX","gurrl001","S7/L7D+",48
"TOR202007300",5,1,0,0,"X","guerv002","64(1)3/GDP/G6",49
"TOR202007300",6,0,1,1,"FBX","taylm002","63/G6M",50
"TOR202007300",6,0,0,2,"CFS","turnt001","K",51
"TOR202007300",6,0,2,0,"BBX","eatoa002","3/G3",52
"TOR202007300",6,1,3,2,".FBBBCFFX","tellr001","S7/L7L",53
"TOR202007300",6,1,1,1,"BFX","hernt002","8/F89XD+",54
"TOR202007300",6,1,0,2,"CFC","panij002","K",55
"TOR202007300",6,1,1,2,"..CTFBT","jansd001","K",56
"TOR202007300",7,0,1,2,"CSBX","casts001","S9/L89",57
"TOR202007300",7,0,1,0,"*BX","cabra002","46(1)3/GDP/G4",58
"TOR202007300",7,0,0,0,"X","suzuk001","8/F8D",59
"TOR202007300",7,1,0,0,"X","drurb001","7/L7D+",60
"TOR202007300",7,1,2,2,"CCBBFS","bichb001","K",61
"TOR202007300",7,1,3,1,"BBBCX","biggc002","HR/F9D",62
"TOR202007300",7,1,0,2,"TFFX","gurrl001","63/G6D",63
"TOR202007300",8,0,2,2,".CFBBX","harrj002","4/L8S",64
"TOR202007300",8,0,1,2,"CBCFX","kiebc001","S9/L9LS",65
"TOR202007300",8,0,0,2,"FCF1X","roblv001","S7/G56.1-2",66
"TOR202007300",8,0,2,2,".FC.BFBFX","thame001","S7/G56.2-3;1-2",67
"TOR202007300",8,0,1,2,"...CSFBX","turnt001","9/SF/L9LD.3-H;2-3",68
"TOR202007300",8,0,0,1,"S>B","eatoa002","SB2",69
"TOR202007300",8,0,3,2,"S>B.SB*BC","eatoa002","K",70
"TOR202007300",8,1,0,0,"..X","guerv002","7/F7LD",71
"TOR202007300",8,1,1,2,"BFSX","tellr001","7/F7S",72
"TOR202007300",8,1,1,0,"BX","hernt002","HR/L78XD",73
"TOR202007300",8,1,2,1,"BBCX","panij002","6/P5D",74
"TOR202007300",9,0,3,2,"BBSFBS","casts001","K",75
"TOR202007300",9,0,0,0,"X","cabra002","7/F7LSF/FL",76
"TOR202007300",9,0,0,0,"X","suzuk001","3/P3",77
"TOR202007300",9,1,2,1,".BFBX","jansd001","8/F89XD+",78
"TOR202007300",9,1,0,1,".FX","mcgur002","8/F8D",79
"TOR202007300",9,1,1,2,"BFFFFFFX","bichb001","D7/L7LD",80
"TOR202007300",9,1,1,2,"BCCN","biggc002","DI.2-3",81
"TOR202007300",9,1,2,2,"BCCN.BS","biggc002","K",82
"TOR202008110",1,0,2,2,"FSBBFFT","villj001","K",1
"TOR202008110",1,0,2,1,"BBFX","bertj001","53/G56",2
"TOR202008110",1,0,3,1,"BBBCB","aguij001","W",3
"TOR202008110",1,0,2,1,"BFBX","dickc002","43/G4",4
"TOR202008110",1,1,2,2,"CBBCC","biggc002","K",5
"TOR202008110",1,1,0,0,"X","bichb001","4/P34D",6
"TOR202008110",1,1,2,2,"BCSBX","shawt001","S9/L89S",7
"TOR202008110",1,1,1,1,"FBX","hernt002","5/L56",8
"TOR202008110",2,0,3,2,"BBSBCX","andeb006","HR/L7LD",9
"TOR202008110",2,0,1,0,"BX","cervf001","3/P3F/FL",10
"TOR202008110",2,0,0,2,"SFT","brinl001","K",11
"TOR202008110",2,0,0,2,"CCS","forsl001","K",12
"TOR202008110",2,1,3,2,"TFBBBFB","gurrl001","W",13
"TOR202008110",2,1,0,0,"1","guerv002","PO1(E1/TH).1-2",14
"TOR202008110",2,1,0,0,"1.X","guerv002","63/G6",15
"TOR202008110",2,1,0,0,"X","gricr001","53/G56",16
"TOR202008110",2,1,1,0,"B2","panij002","OA.2X3(45)",17
"TOR202008110",3,0,2,2,"BCSFFBT","harrm003","K",18
"TOR202008110",3,0,0,0,"X","villj001","S6/G6",19
"TOR202008110",3,0,0,0,"1X","bertj001","E6/G6.1-2;B-1",20
"TOR202008110",3,0,0,1,"C2X","aguij001","64(1)3/GDP/G6",21
"TOR202008110",3,1,1,2,"CBCS","panij002","K",22
"TOR202008110",3,1,3,2,"FBBFBFFC","jansd001","K",23
"TOR202008110",3,1,1,1,"BFX","biggc002","8/L8XD+",24
"TOR202008110",4,0,3,2,"CCFBFBBFFX","dickc002","7/F7D",25
"TOR202008110",4,0,1,1,"FBX","andeb006","63/G56",26
"TOR202008110",4,0,2,0,"BBX","cervf001","4/P6D",27
"TOR202008110",4,1,1,1,"CBX","bichb001","E6/G6M.B-1",28
"TOR202008110",4,1,0,0,"X","shawt001","7/F7LS",29
"TOR202008110",4,1,1,2,"TCFBC","hernt002","K",30
"TOR202008110",4,1,0,0,"1X","gurrl001","4/P4D",31
"TOR202008110",5,0,3,2,"CSBBBB","brinl001","W",32
"TOR202008110",5,0,2,2,"1CB1S*BC","forsl001","K",33
"TOR202008110",5,0,3,2,"F1BB1SBFC","harrm003","K",34
"TOR202008110",5,0,0,0,">B","villj001","SB2",35
"TOR202008110",5,0,2,1,">B.FBX","villj001","FC/G5.2X3(546);B-1",36
"TOR202008110",5,1,3,2,"SBFBBFX","guerv002","63/G6D+",37
"TOR202008110",5,1,2,2,"BBSCFFS","gricr001","K",38
"TOR202008110",5,1,1,1,"BFX","panij002","9/F9D",39
"TOR202008110",6,0,1,2,"CFBC","bertj001","K",40
"TOR202008110",6,0,1,0,"BX","aguij001","53/G5",41
"TOR202008110",6,0,0,2,"SCX","dickc002","53/G6S",42
"TOR202008110",6,1,2,2,"BFBSX","jansd001","D7/L7D",43
"TOR202008110",6,1,0,0,"X","biggc002","D7/F7LD.2-3",44
"TOR202008110",6,1,1,2,".CFBX","bichb001","HR/F7D.3-H;2-H",45
"TOR202008110",6,1,3,2,"BBSBSX","shawt001","8/L8XD+",46
"TOR202008110",6,1,3,2,"..BBSBCFS","hernt002","K",47
"TOR202008110",6,1,0,0,"X","gurrl001","3/P3F/FL",48
"TOR202008110",7,0,0,1,".CX","andeb006","63/G56",49
"TOR202008110",7,0,2,1,"BSBX","cervf001","8/L89XD+",50
"TOR202008110",7,0,1,0,"BX","brinl001","5/L5",51
"TOR202008110",7,1,0,1,".SX","guerv002","7/F7S",52
"TOR202008110",7,1,3,0,"BBBB","gricr001","W",53
"TOR202008110",7,1,1,2,"F*BCS","panij002","K",54
"TOR202008110",7,1,3,1,"BB.BCB","jansd001","W.1-2",55
"TOR202008110",7,1,1,1,"BCX","biggc002","S9/L89.2-H;1-3",56
"TOR202008110",7,1,2,2,"SBBF>B","bichb001","SB2",57
"TOR202008110",7,1,3,2,"SBBF>B.X","bichb001","8/F8XD+",58
"TOR202008110",8,0,1,0,".BX","forsl001","9/L9D+",59
"TOR202008110",8,0,1,2,".FBCX","alvae001","43/G4",60
"TOR202008110",8,0,0,2,"SSS","villj001","K",61
"TOR202008110",8,1,3,1,"...BBFBX","shawt001","63/G2",62
"TOR202008110",8,1,1,2,"CSBX","hernt002","8/L89XD+",63
"TOR202008110",8,1,0,1,"CX","gurrl001","53/G56",64
"TOR202008110",9,0,3,2,".CBBBFFFFX","bertj001","D7/F78XD",65
"TOR202008110",9,0,0,1,"CX","aguij001","8/L8D",66
"TOR202008110",9,0,3,2,"BFBCFF*BFFX","dickc002","31/G34.2-3",67
"TOR202008110",9,0,3,2,"CBBBCB","andeb006","W",68
"TOR202008110",9,0,3,0,"*BBBX","cervf001","HR/F7D.3-H;1-H",69
"TOR202008110",9,0,3,2,"..BBBCFFX","brinl001","7/F7D",70
"TOR202008110",9,1,1,2,".BSFX","guerv002","53/G5",71
"TOR202008110",9,1,3,2,"BBCSBX","gricr001","S4/G4MS",72
