"GAME_ID","BAT_HOME_ID","SUB_LINEUP_ID","REMOVED_ID","REMOVED_FLD_CD","EVENT_ID"
"TOR202007290",0,0,"pearn001",1,38
"TOR202007290",0,0,"dolir001",1,44
"TOR202007290",0,0,"gavis001",1,48
"TOR202007290",1,7,"panij002",5,56
"TOR202007290",1,0,"schem001",1,60
"TOR202007290",0,7,"alfoa002",12,61
"TOR202007290",0,0,"romaj004",1,61
"TOR202007290",0,0,"bassa001",1,67
"TOR202007290",0,6,"casts001",4,67
"TOR202007290",1,6,"bonie001",12,74
"TOR202007290",1,8,"steva001",7,74
"TOR202007290",1,0,"hudsd001",1,74
"TOR202007300",0,2,"biggc002",4,29
"TOR202007300",0,7,"fishd001",9,29
"TOR202007300",1,0,"fedde001",1,38
"TOR202007300",0,0,"ryu-h001",1,43
"TOR202007300",1,0,"harpr001",1,52
"TOR202007300",1,0,"frees001",1,55
"TOR202007300",0,0,"hatct001",1,63
"TOR202007300",0,9,"taylm002",7,66
"TOR202007300",0,0,"fontw001",1,67
"TOR202007300",0,9,"thame001",11,67
"TOR202007300",1,9,"steva001",12,70
"TOR202007300",1,0,"guerj002",1,70
"TOR202007300",1,0,"raint003",1,77
"TOR202007300",1,9,"drurb001",5,78
"TOR202008110",1,0,"herne002",1,46
"TOR202008110",0,0,"ryu-h001",1,48
"TOR202008110",1,0,"hoytj001",1,51
"TOR202008110",0,0,"dolir001",1,58
"TOR202008110",0,9,"harrm003",8,59
"TOR202008110",1,2,"bertj001",4,61
"TOR202008110",1,9,"alvae001",11,61
"TOR202008110",1,0,"shafj001",1,61
"TOR202008110",0,0,"romaj004",1,64
"TOR202008110",0,0,"bassa001",1,69
"TOR202008110",1,0,"shars001",1,70
"TOR202008110",1,0,"boxbb001",1,78
"TOR202008110",1,8,"panij002",10,78
"TOR202008110",1,7,"brinl001",9,79
"TOR202008110",1,4,"dickc002",7,79
"TOR202008120",0,0,"pearn001",1,27
"TOR202008120",1,0,"yamaj001",1,45
"TOR202008120",0,0,"waguj001",1,52
"TOR202008120",1,0,"vincn001",1,61
"TOR202008120",1,0,"morim002",1,62
"TOR202008120",1,0,"morab001",1,68
"TOR202008120",1,0,"hoytj001",1,75
"TOR202008120",0,0,"yamas001",1,78
"TOR202008120",1,0,"tarps001",1,81
"TOR202008120",1,0,"boxbb001",1,85
"TOR202008120",1,6,"guerv002",3,86
"TOR202008120",0,3,"shawt001",5,87
"TOR202008120",0,6,"alfoa002",12,87
"TOR202008120",0,0,"borur001",1,87
"TOR202008120",0,4,"joycm001",7,87
"TOR202008120",0,6,"cervf001",2,91
"TOR202008120",1,4,"brinl001",11,92
"TOR202008120",1,6,"harrm003",12,92
"TOR202008120",0,0,"romaj004",1,95
"TOR202008120",0,0,"dolir001",1,103
"TOR202008120",1,0,"kintb001",1,104
"TOR202008140",0,0,"roart001",1,40
"TOR202008140",1,0,"richt001",1,45
"TOR202008140",0,6,"tsuty001",10,48
"TOR202008140",0,9,"perem005",2,51
"TOR202008140",0,0,"kay-a001",1,51
"TOR202008140",1,9,"martj008",11,52
"TOR202008140",1,0,"thomr007",1,55
"TOR202008140",0,0,"fontw001",1,60
"TOR202008140",0,0,"borur001",1,67
"TOR202008140",1,0,"loupa001",1,70
"TOR202008140",1,0,"alvaj004",1,78
"TOR202008140",0,0,"bassa001",1,79
"TOR202008150",0,0,"andec001",1,27
"TOR202008150",1,0,"yarbr001",1,32
"TOR202008150",0,2,"bichb001",6,38
"TOR202008150",0,0,"fontw001",1,38
"TOR202008150",1,0,"beekj001",1,55
"TOR202008150",0,0,"hatct001",1,57
"TOR202008150",0,4,"choij001",3,60
"TOR202008150",0,0,"borur001",1,61
"TOR202008150",0,5,"brosm001",4,61
"TOR202008150",1,4,"martj008",11,63
"TOR202008150",1,5,"wendj002",11,63
"TOR202008150",1,0,"fairp001",1,64
"TOR202008150",0,0,"dolir001",1,70
"TOR202008150",1,0,"castd002",1,73
"TOR202008150",1,8,"mcgur002",2,74
"TOR202008150",0,8,"jansd001",11,75
"TOR202008150",0,0,"romaj004",1,80
"TOR202008150",1,0,"loupa001",1,81
"TOR202008150",1,9,"drurb001",5,81
"TOR202008160",1,0,"chiry001",1,23
"TOR202008160",1,0,"thomr007",1,33
"TOR202008160",0,0,"shoem001",1,36
"TOR202008160",0,0,"waguj001",1,39
"TOR202008160",0,3,"wendj002",5,41
"TOR202008160",1,3,"diazy001",11,43
"TOR202008160",0,5,"tsuty001",7,47
"TOR202008160",0,0,"kay-a001",1,49
"TOR202008160",1,5,"margm001",12,50
"TOR202008160",1,0,"curtj003",1,50
"TOR202008160",0,9,"alfoa002",7,54
"TOR202008160",0,3,"diazy001",5,58
"TOR202008160",1,3,"brosm001",12,59
"TOR202008160",1,0,"roe-c001",1,59
"TOR202008160",0,0,"colea002",1,62
"TOR202008160",1,0,"loupa001",1,66
"TOR202008201",0,0,"andec001",1,30
"TOR202008201",1,0,"howas003",1,36
"TOR202008201",1,0,"parkb001",1,45
"TOR202008201",1,6,"panij002",4,45
"TOR202008201",0,1,"biggc002",8,46
"TOR202008201",0,4,"hernt002",9,46
"TOR202008201",0,6,"gurrl001",11,46
"TOR202008201",0,7,"mckib001",7,46
"TOR202008201",0,0,"merrj001",1,46
"TOR202008201",1,0,"alvaj003",1,50
"TOR202008201",1,9,"espis001",6,52
"TOR202008201",0,9,"tellr001",11,55
"TOR202008201",0,0,"fontw001",1,55
"TOR202008201",1,0,"huntt002",1,58
"TOR202008202",0,0,"thort002",1,8
"TOR202008202",0,0,"waguj001",1,31
"TOR202008202",0,0,"yamas001",1,47
"TOR202008202",1,9,"kings001",8,48
"TOR202008202",1,7,"walkn001",4,48
"TOR202008202",1,0,"velav001",1,50
"TOR202008202",1,0,"brogc001",1,53
"TOR202008202",1,9,"drurb001",5,54
"TOR202008202",1,0,"nerih001",1,59
"TOR202008202",0,7,"panij002",6,62
"TOR202008202",0,9,"shawt001",11,62
"TOR202008202",0,6,"brucj001",10,66
"TOR202008202",0,0,"kay-a001",1,66
"TOR202008250",0,6,"shawt001",5,20
"TOR202008250",0,8,"drurb001",4,20
"TOR202008250",1,0,"hartk002",1,38
"TOR202008250",0,0,"andec001",1,50
"TOR202008250",0,0,"fontw001",1,55
"TOR202008250",1,0,"valdp002",1,59
"TOR202008250",0,0,"colea002",1,63
"TOR202008250",0,0,"bergt001",1,75
"TOR202008250",1,0,"hernd004",1,76
"TOR202008250",1,0,"brasr001",1,83
"TOR202008250",1,7,"jansd001",2,87
"TOR202008260",0,0,"merrj001",1,18
"TOR202008260",1,0,"brewc002",1,34
"TOR202008260",0,0,"yamas001",1,49
"TOR202008260",1,0,"weber001",1,57
"TOR202008260",0,0,"dolir001",1,62
"TOR202008260",1,0,"brica001",1,65
"TOR202008260",0,0,"bassa001",1,69
"TOR202008280",1,0,"meanj001",1,35
"TOR202008280",1,0,"tated001",1,48
"TOR202008280",0,0,"ryu-h001",1,50
"TOR202008280",0,0,"hatct001",1,58
"TOR202008280",0,0,"romaj004",1,61
"TOR202008280",1,0,"scott003",1,62
"TOR202008280",0,8,"velaa001",6,69
"TOR202008280",1,1,"albeh001",5,71
"TOR202008280",1,7,"valap001",4,71
"TOR202008280",1,8,"ruizr002",11,71
"TOR202008280",1,0,"castm002",1,71
"TOR202008280",1,8,"jansd001",2,73
"TOR202008280",0,8,"voged001",11,74
"TOR202008280",0,0,"bassa001",1,74
"TOR202008280",1,6,"mounr001",7,78
"TOR202008290",1,0,"cobba001",1,44
"TOR202008290",0,0,"walkt004",1,56
"TOR202008290",0,0,"borur001",1,64
"TOR202008290",1,0,"valdc003",1,67
"TOR202008290",0,0,"colea002",1,71
"TOR202008300",1,0,"lopej004",1,42
"TOR202008300",0,0,"roart001",1,48
"TOR202008300",0,0,"kay-a001",1,55
"TOR202008300",1,0,"fry-p001",1,65
"TOR202008300",1,7,"willm007",8,65
"TOR202008300",1,6,"mounr001",7,65
"TOR202008300",1,0,"harvh001",1,69
"TOR202008300",0,0,"reids001",1,71
"TOR202008300",1,0,"scott003",1,77
"TOR202008300",1,8,"panij002",6,79
"TOR202008310",1,0,"akink001",1,36
"TOR202008310",0,0,"andec001",1,40
"TOR202008310",0,0,"fontw001",1,50
"TOR202008310",0,9,"mullc002",8,53
"TOR202008310",0,0,"borur001",1,53
"TOR202008310",0,9,"valap001",11,53
"TOR202008310",1,9,"willm007",11,55
"TOR202008310",1,0,"lakit001",1,55
"TOR202008310",1,0,"scott003",1,58
"TOR202008310",0,0,"hatct001",1,65
"TOR202008310",0,5,"sevep001",2,69
"TOR202008310",1,5,"velaa001",12,70
"TOR202008310",1,6,"voged001",10,71
"TOR202008310",1,9,"espis001",6,73
"TOR202008310",0,8,"panij002",5,74
"TOR202008310",0,9,"shawt001",11,74
"TOR202008310",0,0,"dolir001",1,74
"TOR202008310",1,0,"tated001",1,76
"TOR202008310",0,0,"colea002",1,79
"TOR202008310",1,4,"nuner001",3,84
"TOR202008310",1,5,"holab001",2,84
"TOR202008310",1,6,"siscc001",10,84
"TOR202008310",1,8,"ruizr002",5,84
"TOR202008310",1,1,"albeh001",4,84
"TOR202008310",1,6,"fishd001",10,87
"TOR202009042",0,0,"strir001",1,36
"TOR202009042",1,0,"mazzc002",1,41
"TOR202009042",1,0,"taylj001",1,47
"TOR202009042",1,3,"tellr001",3,50
"TOR202009042",0,3,"espis001",12,54
"TOR202009042",0,8,"shawt001",5,54
"TOR202009042",0,0,"reids001",1,54
"TOR202009042",1,0,"leyer001",1,57
"TOR202009042",1,9,"mcgur002",2,58
"TOR202009070",1,0,"montj004",1,37
"TOR202009070",0,0,"ryu-h001",1,51
"TOR202009070",1,0,"holdj002",1,59
"TOR202009070",1,0,"greec003",1,64
"TOR202009070",1,8,"espis001",6,70
"TOR202009070",1,0,"ottaa001",1,72
"TOR202009070",0,0,"reids001",1,74
"TOR202009070",0,8,"panij002",11,74
"TOR202009070",0,6,"villj001",4,74
"TOR202009070",1,0,"cessl001",1,84
"TOR202009070",0,0,"merrj001",1,89
"TOR202009080",0,0,"walkt004",1,39
"TOR202009080",0,0,"yamas001",1,57
"TOR202009080",1,0,"happj001",1,61
"TOR202009080",0,0,"colea002",1,63
"TOR202009080",0,6,"taucm001",7,63
"TOR202009080",1,6,"higak001",11,66
"TOR202009080",1,0,"kingm002",1,66
"TOR202009080",0,3,"tellr001",3,69
"TOR202009080",0,0,"kay-a001",1,69
"TOR202009080",0,9,"wadet002",4,69
"TOR202009090",0,0,"roart001",1,33
"TOR202009090",0,0,"strir001",1,59
"TOR202009090",1,0,"garcd003",1,62
"TOR202009090",1,3,"shawt001",3,65
"TOR202009090",0,3,"gurrl001",11,66
"TOR202009090",0,0,"borur001",1,66
"TOR202009090",1,0,"britz001",1,75
"TOR202009110",0,0,"andec001",1,24
"TOR202009110",0,0,"kay-a001",1,36
"TOR202009110",0,2,"gricr001",8,61
"TOR202009110",0,0,"waguj001",1,64
"TOR202009110",0,5,"canor001",4,65
"TOR202009110",1,0,"degrj001",1,68
"TOR202009110",1,8,"gimea001",6,68
"TOR202009110",1,5,"guill001",12,68
"TOR202009110",1,3,"davij006",5,68
"TOR202009110",1,1,"nimmb001",8,68
"TOR202009110",1,2,"confm001",9,68
"TOR202009110",0,0,"borur001",1,71
"TOR202009110",0,9,"espis001",6,80
"TOR202009110",0,7,"panij002",4,80
"TOR202009110",0,6,"villj001",10,80
"TOR202009110",0,1,"biggc002",9,80
"TOR202009120",0,0,"ray-r002",1,43
"TOR202009120",0,7,"marij002",8,46
"TOR202009120",1,7,"nimmb001",11,47
"TOR202009120",1,0,"lugos001",1,49
"TOR202009120",1,0,"shrec001",1,53
"TOR202009120",0,0,"merrj001",1,62
"TOR202009120",1,0,"castm002",1,65
"TOR202009120",1,9,"panij002",4,70
"TOR202009120",0,1,"biggc002",9,72
"TOR202009120",0,9,"davij007",12,72
"TOR202009120",0,0,"bassa001",1,72
"TOR202009130",1,1,"mcnej002",4,31
"TOR202009130",1,0,"peted003",1,44
"TOR202009130",1,0,"bracb001",1,47
"TOR202009130",1,7,"davij007",9,48
"TOR202009130",0,1,"biggc002",5,54
"TOR202009130",0,7,"shawt001",11,54
"TOR202009130",0,0,"ryu-h001",1,54
"TOR202009130",1,0,"hughj001",1,58
"TOR202009130",0,0,"hatct001",1,64
"TOR202009130",0,7,"rosaa003",6,66
"TOR202009130",1,1,"guill001",4,67
"TOR202009130",1,7,"canor001",11,67
"TOR202009130",0,0,"colea002",1,71
"TOR202009130",0,9,"chirr001",2,72
"TOR202009181",0,0,"ray-r002",1,38
"TOR202009181",0,0,"hatct001",1,50
"TOR202009210",1,0,"kingm002",1,27
"TOR202009210",0,0,"shoem001",1,29
"TOR202009210",1,0,"loaij001",1,40
"TOR202009210",1,0,"nelsn001",1,55
"TOR202009210",0,0,"zeuct001",1,59
"TOR202009210",1,0,"greec003",1,70
"TOR202009210",1,1,"lemad001",4,70
"TOR202009210",1,2,"judga001",9,70
"TOR202009210",1,4,"voitl001",3,70
"TOR202009210",0,0,"murpp001",1,73
"TOR202009210",0,0,"fontw001",1,80
"TOR202009220",0,0,"roart001",1,34
"TOR202009220",0,0,"hatct001",1,41
"TOR202009220",0,0,"andec001",1,61
"TOR202009220",1,4,"voitl001",3,62
"TOR202009220",1,3,"hicka001",8,62
"TOR202009220",1,1,"lemad001",4,62
"TOR202009220",1,0,"coleg001",1,62
"TOR202009220",0,1,"biggc002",5,65
"TOR202009220",0,7,"panij002",4,65
"TOR202009220",0,0,"fontw001",1,70
"TOR202009220",1,0,"britz001",1,71
"TOR202009230",0,0,"ray-r002",1,45
"TOR202009230",1,0,"tanam001",1,49
"TOR202009230",0,0,"colea002",1,54
"TOR202009230",1,0,"cessl001",1,62
"TOR202009230",1,2,"judga001",9,79
"TOR202009230",1,0,"lyont001",1,79
"TOR202009230",0,7,"urshg001",5,83
"TOR202009240",1,0,"montj004",1,46
"TOR202009240",0,9,"gardb001",7,54
"TOR202009240",1,7,"frazc001",9,56
"TOR202009240",1,9,"judga001",11,56
"TOR202009240",1,0,"ottaa001",1,56
"TOR202009240",0,0,"ryu-h001",1,62
"TOR202009240",0,8,"higak001",2,68
"TOR202009240",0,0,"bassa001",1,68
"TOR202009240",1,8,"sancg002",11,69
"TOR202009240",1,0,"greec003",1,69
"TOR202009250",1,0,"lopej004",1,26
"TOR202009250",0,0,"walkt004",1,30
"TOR202009250",0,0,"pearn001",1,43
"TOR202009250",0,0,"yamas001",1,52
"TOR202009250",0,0,"borur001",1,58
"TOR202009250",1,0,"eshet001",1,62
"TOR202009250",0,0,"hatct001",1,73
"TOR202009260",0,0,"zeuct001",1,37
"TOR202009260",0,5,"gurrl001",7,37
"TOR202009260",0,9,"davij007",8,37
"TOR202009260",1,0,"meanj001",1,48
"TOR202009260",1,0,"harvh001",1,53
"TOR202009260",0,0,"andec001",1,55
"TOR202009260",0,0,"strir001",1,59
"TOR202009260",1,0,"sulsc001",1,60
"TOR202009260",1,0,"scott003",1,64
"TOR202009270",1,0,"akink001",1,35
"TOR202009270",0,0,"roart001",1,39
"TOR202009270",1,0,"lakit001",1,53
"TOR202009270",0,0,"yamas001",1,57
"TOR202009270",1,0,"fry-p001",1,62
"TOR202009270",1,2,"bichb001",6,62
"TOR202009270",0,2,"panij002",11,65
"TOR202009270",1,0,"harvh001",1,69
"TOR202009270",0,0,"murpp001",1,75
"TOR202009270",1,0,"armss001",1,78
