"GAME_ID","GAME_DT","GAME_CT","START_GAME_TM","DH_FL","DAYNIGHT_PARK_CD","AWAY_TEAM_ID","HOME_TEAM_ID","PARK_ID","BASE4_UMP_ID","BASE1_UMP_ID","BASE2_UMP_ID","ATTEND_PARK_CT","SCORER_RECORD_ID","METHOD_RECORD_CD","PITCHES_RECORD_CD","TEMP_PARK_CT","WIND_DIRECTION_PARK_CD","WIND_SPEED_PARK_CT","FIELD_PARK_CD","PRECIP_PARK_CD","SKY_PARK_CD","MINUTES_GAME_CT","WIN_PIT_ID","LOSE_PIT_ID","SAVE_PIT_ID"
"WAS202007230","20200723",0,708,"T","N","NYA","WAS","WAS11","herna901","belld901","littw901",0,"",0,1,90,2,7,0,1,2,103,"coleg001","schem001",""
"WAS202007250","20200725",0,715,"T","N","NYA","WAS","WAS11","belld901","littw901","lentn901",0,"",0,1,89,0,2,0,1,2,193,"raint003","paxtj001",""
"WAS202007260","20200726",0,105,"T","D","NYA","WAS","WAS11","littw901","lentn901","herna901",0,"",0,1,91,2,10,0,1,1,187,"greec003","dools001","britz001"
"WAS202007270","20200727",0,605,"T","N","TOR","WAS","WAS11","kulpr901","ticht901","gonzm901",0,"",0,1,94,3,7,0,1,2,179,"borur001","sanca004","bassa001"
"WAS202007280","20200728",0,605,"T","N","TOR","WAS","WAS11","ticht901","gonzm901","segac901",0,"",0,1,88,3,7,0,1,2,180,"roart001","votha001",""
"WAS202008040","20200804",0,705,"T","N","NYN","WAS","WAS11","diazl901","timmt901","reybd901",0,"",0,1,82,4,11,0,1,2,193,"corbp001","matzs001","hudsd001"
"WAS202008050","20200805",0,605,"T","N","NYN","WAS","WAS11","timmt901","reybd901","blakr901",0,"",0,1,87,0,4,0,1,2,166,"porcr001","fedde001","lugos001"
"WAS202008070","20200807",0,605,"T","N","BAL","WAS","WAS11","reybd901","blakr901","diazl901",0,"",0,1,86,1,9,0,1,2,180,"milot001","sanca004",""
"WAS202008080","20200808",0,605,"T","N","BAL","WAS","WAS11","blakr901","diazl901","timmt901",0,"",0,1,89,3,1,0,1,2,207,"armss001","hudsd001","castm002"
"WAS202008090","20200809",0,505,"T","N","BAL","WAS","WAS11","diazl901","timmt901","reybd901",0,"",0,1,87,2,2,0,1,2,191,"lakit001","stras001",""
"WAS202008210","20200821",0,605,"T","N","MIA","WAS","WAS11","kulpr901","segac901","gonzm901",0,"",0,1,83,1,2,0,1,2,186,"herne002","corbp001","kintb001"
"WAS202008221","20200822",1,405,"T","D","MIA","WAS","WAS11","segac901","willr901","dejer901",0,"",0,1,85,2,5,0,1,2,178,"finnk001","castd003","hudsd001"
"WAS202008230","20200823",0,1235,"T","D","MIA","WAS","WAS11","dejer901","kulpr901","segac901",0,"",0,1,87,0,4,0,1,2,192,"sanca004","mejih001",""
"WAS202008240","20200824",0,605,"T","N","MIA","WAS","WAS11","rackd901","conrc901","barkl901",0,"",0,1,86,2,2,0,1,2,242,"lopep002","votha001","kintb001"
"WAS202008250","20200825",0,605,"T","N","PHI","WAS","WAS11","conrc901","barkl901","addir901",0,"",0,1,90,3,9,0,1,2,193,"arrij001","fedde001",""
"WAS202008260","20200826",0,605,"T","N","PHI","WAS","WAS11","vanol901","barkl901","rackd901",0,"",0,1,85,4,8,0,1,2,199,"nolaa001","harrw002","workb001"
"WAS202009070","20200907",0,605,"T","N","TBA","WAS","WAS11","wegnm901","fostm901","barbs901",0,"",0,1,80,1,4,0,1,1,161,"schem001","mortc002","hudsd001"
"WAS202009080","20200908",0,605,"T","N","TBA","WAS","WAS11","fostm901","barbs901","porta901",0,"",0,1,83,8,4,0,1,2,200,"sanca004","yarbr001","hudsd001"
"WAS202009100","20200910",0,605,"T","N","ATL","WAS","WAS11","vanol901","rackd901","barkl901",0,"",0,1,80,4,6,0,1,2,220,"martc007","raint003","melam001"
"WAS202009110","20200911",0,605,"T","N","ATL","WAS","WAS11","rackd901","barkl901","conrc901",0,"",0,1,76,6,8,0,1,2,288,"bourj003","daytg001",""
"WAS202009120","20200912",0,605,"T","N","ATL","WAS","WAS11","barkl901","conrc901","vanol901",0,"",0,1,72,7,6,0,1,2,184,"andei001","corbp001","melam001"
"WAS202009130","20200913",0,1235,"T","D","ATL","WAS","WAS11","conrc901","vanol901","rackd901",0,"",0,1,76,3,4,0,1,2,217,"wrigk001","schem001",""
"WAS202009210","20200921",0,605,"T","N","PHI","WAS","WAS11","valej901","sches901","carav901",0,"",0,1,64,7,3,0,1,1,228,"sanca004","wheez001",""
"WAS202009221","20200922",1,305,"T","D","PHI","WAS","WAS11","sches901","arrid901","westj901",0,"",0,1,68,5,7,0,1,1,129,"votha001","nolaa001",""
