"GAME_ID","INN_CT","BAT_HOME_ID","BALLS_CT","STRIKES_CT","PITCH_SEQ_TX","BAT_ID","EVENT_TX","EVENT_ID"
"WAS202007230",1,0,2,2,"BBCCX","hicka001","43/G+",1
"WAS202007230",1,0,1,1,"BCX","judga001","S7/G+",2
"WAS202007230",1,0,2,2,"CBC*BX","torrg001","63/G-.1-2",3
"WAS202007230",1,0,1,1,"CBX","stanm004","HR/F8.2-H",4
"WAS202007230",1,0,3,2,"BFBBFS","gardb001","K",5
"WAS202007230",1,1,3,1,"BFBBX","turnt001","8/F",6
"WAS202007230",1,1,2,2,"BBSFFFX","eatoa002","HR/F89",7
"WAS202007230",1,1,0,0,"X","casts001","53/G",8
"WAS202007230",1,1,1,2,"BCSC","kendh001","K",9
"WAS202007230",2,0,1,2,"SSBS","sancg002","K",10
"WAS202007230",2,0,1,2,"BFSS","voitl001","K",11
"WAS202007230",2,0,2,2,"BSFBS","urshg001","K",12
"WAS202007230",2,1,0,1,"SH","thame001","HP",13
"WAS202007230",2,1,2,0,"BBX","suzuk001","9/F",14
"WAS202007230",2,1,2,1,"FBBX","cabra002","7/F",15
"WAS202007230",2,1,0,2,"CCFFT","steva001","K",16
"WAS202007230",3,0,3,2,"BBFBLB","wadet002","W",17
"WAS202007230",3,0,0,2,"1TC11S","hicka001","K",18
"WAS202007230",3,0,0,1,"SX","judga001","D7/L.1-H",19
"WAS202007230",3,0,0,1,"FX","torrg001","4/P",20
"WAS202007230",3,0,1,2,"CCB*S","stanm004","K",21
"WAS202007230",3,1,1,2,"CBSS","roblv001","K",22
"WAS202007230",3,1,1,2,"BCFX","turnt001","9/F",23
"WAS202007230",3,1,1,2,"CBSFX","eatoa002","9/F+",24
"WAS202007230",4,0,0,2,"CCC","gardb001","K",25
"WAS202007230",4,0,1,2,"SSBS","sancg002","K",26
"WAS202007230",4,0,2,2,"FSBBX","voitl001","53/G",27
"WAS202007230",4,1,3,2,"BBTCBX","casts001","9/F",28
"WAS202007230",4,1,3,1,"BBFBX","kendh001","4/L",29
"WAS202007230",4,1,0,0,"X","thame001","8/L",30
"WAS202007230",5,0,3,1,"BBFB*B","urshg001","W",31
"WAS202007230",5,0,0,0,"X","wadet002","S46/BG.1-2",32
"WAS202007230",5,0,0,2,"CFX","hicka001","36(1)/FO/G.2-3;B-1",33
"WAS202007230",5,0,1,2,"*S*BSC","judga001","K",34
"WAS202007230",5,0,3,0,"BB*BB","torrg001","W.1-2",35
"WAS202007230",5,0,0,0,"X","stanm004","S9/L.3-H;2-3;1-2",36
"WAS202007230",5,0,1,2,"FCBS","gardb001","K",37
"WAS202007230",5,1,2,1,"BFBX","suzuk001","9/F/FL",38
"WAS202007230",5,1,3,2,"CBBFBB","cabra002","W",39
"WAS202007230",5,1,1,2,"BSS*S","steva001","K",40
"WAS202007230",5,1,2,2,"CC*B*BC","roblv001","K",41
"WAS202007230",6,0,1,2,"SSFBS","sancg002","K",42
"WAS202007230",6,0,3,2,"FBBBCB","voitl001","W",43
"WAS202007230",6,0,0,0,"X","urshg001","S7/L.1-3",44
"WAS202007250",1,0,0,1,"CX","lemad001","E3/TH/G.B-1",1
"WAS202007250",1,0,3,2,"FBBBSS","judga001","K",2
"WAS202007250",1,0,0,1,"SX","torrg001","FC4/G+.1-2(E4);B-1",3
"WAS202007250",1,0,2,1,"CBBX","stanm004","54(1)3/GDP/G+",4
"WAS202007250",1,1,0,2,"SCFS","turnt001","K",5
"WAS202007250",1,1,1,2,"CBFX","eatoa002","7/F",6
"WAS202007250",1,1,0,1,"FX","casts001","T98/L",7
"WAS202007250",1,1,1,2,"BSFFX","kendh001","8/L+",8
"WAS202007250",2,0,2,2,"CSBBS","hicka001","K",9
"WAS202007250",2,0,1,2,"CCBC","voitl001","K",10
"WAS202007250",2,0,2,2,"CBFBX","sancg002","43/G+",11
"WAS202007250",2,1,1,0,"BX","cabra002","S9/G",12
"WAS202007250",2,1,0,0,"X","suzuk001","S8/L.1-2",13
