"GAME_ID","BAT_HOME_ID","SUB_LINEUP_ID","REMOVED_ID","REMOVED_FLD_CD","EVENT_ID"
"WAS202007250",1,0,"paxtj001",1,16
"WAS202007250",0,0,"fedde001",1,38
"WAS202007250",1,0,"kingm002",1,46
"WAS202007250",0,0,"raint003",1,49
"WAS202007250",1,1,"lemad001",4,52
"WAS202007250",1,0,"holdj002",1,56
"WAS202007250",1,0,"haled001",1,62
"WAS202007250",0,0,"harpr001",1,66
"WAS202007250",1,0,"hellb001",1,70
"WAS202007250",0,0,"bourj003",1,74
"WAS202007250",0,1,"estrt001",4,76
"WAS202007260",1,0,"loaij001",1,25
"WAS202007260",1,0,"haled001",1,32
"WAS202007260",1,0,"ottaa001",1,39
"WAS202007260",0,0,"corbp001",1,46
"WAS202007260",1,7,"andum001",7,50
"WAS202007260",0,0,"harrw002",1,53
"WAS202007260",0,8,"higak001",2,53
"WAS202007260",0,9,"taucm001",8,54
"WAS202007260",0,0,"dools001",1,58
"WAS202007260",1,8,"hicka001",11,61
"WAS202007260",1,9,"sancg002",11,61
"WAS202007260",1,0,"greec003",1,61
"WAS202007260",1,1,"lemad001",4,61
"WAS202007260",1,5,"voitl001",3,61
"WAS202007260",0,0,"raint003",1,67
"WAS202007260",1,0,"kahnt001",1,70
"WAS202007260",1,6,"cabra002",5,71
"WAS202007270",1,0,"thort002",1,42
"WAS202007270",0,0,"sanca004",1,45
"WAS202007270",0,0,"frees001",1,48
"WAS202007270",1,0,"colea002",1,49
"WAS202007270",1,0,"borur001",1,58
"WAS202007270",1,7,"panij002",6,63
"WAS202007270",1,0,"romaj004",1,63
"WAS202007270",0,0,"guerj002",1,66
"WAS202007270",1,9,"fishd001",9,71
"WAS202007270",1,0,"dolir001",1,71
"WAS202007280",0,0,"votha001",1,38
"WAS202007280",1,0,"roart001",1,41
"WAS202007280",0,0,"raint003",1,46
"WAS202007280",0,0,"dools001",1,51
"WAS202007280",0,0,"harrw002",1,58
"WAS202007280",1,0,"waguj001",1,59
"WAS202007280",0,0,"harpr001",1,62
"WAS202007280",0,0,"frees001",1,65
"WAS202007280",1,0,"fontw001",1,68
"WAS202008040",1,0,"matzs001",1,33
"WAS202008040",1,0,"sewap001",1,48
"WAS202008040",0,0,"corbp001",1,53
"WAS202008040",0,0,"harpr001",1,60
"WAS202008040",1,0,"famij001",1,63
"WAS202008040",0,0,"raint003",1,66
"WAS202008040",0,7,"cordr001",8,67
"WAS202008040",1,1,"nimmb001",7,71
"WAS202008040",1,7,"smitd008",11,71
"WAS202008040",1,0,"betad001",1,71
"WAS202008040",0,0,"guerj002",1,74
"WAS202008040",0,6,"harrj002",7,74
"WAS202008050",0,0,"schem001",1,10
"WAS202008050",0,0,"fedde001",1,36
"WAS202008050",0,0,"frees001",1,44
