"GAME_ID","BAT_HOME_ID","SUB_LINEUP_ID","REMOVED_ID","REMOVED_FLD_CD","EVENT_ID"
"LAN202010200",1,0,"glast001",1,43
"LAN202010200",1,8,"pedej001",7,45
"LAN202010200",0,7,"taylc001",4,47
"LAN202010200",0,8,"herne001",11,47
"LAN202010200",1,0,"yarbr001",1,50
"LAN202010200",0,0,"kersc001",1,56
"LAN202010200",0,4,"renfh001",9,56
"LAN202010200",0,7,"adamw002",6,59
"LAN202010200",0,0,"flord002",1,59
"LAN202010200",0,7,"choij001",11,59
"LAN202010200",1,4,"meada001",11,62
"LAN202010200",1,6,"wendj002",5,62
"LAN202010200",1,7,"brosm001",11,62
"LAN202010200",0,0,"gonzv001",1,65
"LAN202010200",1,0,"flemj001",1,72
"LAN202010200",0,0,"baezp001",1,73
"LAN202010210",0,0,"gonst001",1,10
"LAN202010210",0,0,"flord002",1,19
"LAN202010210",0,0,"gonzv001",1,26
"LAN202010210",1,0,"snelb001",1,43
"LAN202010210",0,0,"may-d003",1,44
"LAN202010210",1,7,"polla001",10,53
"LAN202010210",0,0,"kellj001",1,54
"LAN202010210",0,1,"meada001",10,55
"LAN202010210",0,4,"choij001",3,58
"LAN202010210",1,4,"brosm001",11,59
"LAN202010210",1,0,"anden001",1,59
"LAN202010210",1,8,"herne001",4,59
"LAN202010210",0,8,"pedej001",11,62
"LAN202010210",0,9,"taylc001",7,62
"LAN202010210",1,0,"fairp001",1,70
"LAN202010210",0,0,"wooda002",1,71
"LAN202010210",0,1,"diazy001",10,75
"LAN202010210",0,3,"arozr001",7,75
"LAN202010210",1,3,"philb002",12,76
"LAN202010210",1,8,"pedej001",7,77
"LAN202010210",1,0,"loupa001",1,78
"TBA202010230",0,0,"mortc002",1,35
"TBA202010230",0,0,"curtj003",1,53
"TBA202010230",1,0,"buehw001",1,57
"TBA202010230",0,8,"pedej001",7,60
"TBA202010230",0,0,"sherr001",1,60
"TBA202010230",1,7,"taylc001",4,63
"TBA202010230",1,8,"herne001",11,63
"TBA202010230",1,0,"treib001",1,63
"TBA202010230",1,9,"zunim001",2,65
"TBA202010230",0,9,"tsuty001",11,66
"TBA202010230",0,0,"thomr007",1,66
"TBA202010230",1,0,"gratb002",1,70
"TBA202010240",0,0,"yarbr001",1,27
"TBA202010240",0,0,"thomr007",1,35
"TBA202010240",1,0,"uriaj001",1,43
"TBA202010240",0,0,"fairp001",1,44
"TBA202010240",1,3,"brosm001",5,51
"TBA202010240",1,4,"margm001",7,52
"TBA202010240",1,0,"treib001",1,53
"TBA202010240",0,1,"diazy001",3,56
"TBA202010240",0,3,"choij001",11,56
"TBA202010240",0,4,"meada001",11,56
"TBA202010240",0,0,"castd002",1,56
"TBA202010240",0,0,"loupa001",1,59
"TBA202010240",0,7,"polla001",8,61
"TBA202010240",1,7,"pedej001",11,62
"TBA202010240",1,8,"taylc001",7,62
"TBA202010240",1,1,"diazy001",5,65
"TBA202010240",0,1,"wendj002",12,66
"TBA202010240",0,0,"anden001",1,70
"TBA202010240",1,0,"baezp001",1,72
"TBA202010240",1,0,"kolaa001",1,75
"TBA202010240",1,3,"choij001",3,76
"TBA202010240",0,3,"philb002",12,77
"TBA202010240",0,7,"renfh001",9,77
"TBA202010240",1,0,"gratb002",1,81
"TBA202010240",1,8,"zunim001",2,81
"TBA202010250",0,0,"glast001",1,48
"TBA202010250",0,0,"loupa001",1,51
"TBA202010250",1,0,"kersc001",1,54
"TBA202010250",1,5,"renfh001",9,58
"TBA202010250",0,5,"meada001",11,61
"TBA202010250",0,0,"castd002",1,61
"TBA202010250",1,7,"taylc001",4,64
"TBA202010250",1,8,"pedej001",7,64
"TBA202010250",1,9,"zunim001",2,65
"TBA202010250",1,1,"diazy001",3,66
"TBA202010250",1,0,"may-d003",1,66
"TBA202010250",1,1,"choij001",11,66
"TBA202010250",0,1,"brosm001",11,70
"TBA202010250",0,9,"tsuty001",11,70
"TBA202010250",0,0,"sherr001",1,70
"TBA202010250",1,0,"gonzv001",1,74
"LAN202010270",0,0,"gonst001",1,13
"LAN202010270",0,0,"flord002",1,17
"LAN202010270",0,0,"wooda002",1,30
"LAN202010270",0,0,"baezp001",1,33
"LAN202010270",1,0,"snelb001",1,42
"LAN202010270",1,0,"anden001",1,46
"LAN202010270",0,0,"gonzv001",1,47
"LAN202010270",0,0,"gratb002",1,50
"LAN202010270",0,9,"zunim001",2,50
"LAN202010270",0,1,"choij001",3,50
"LAN202010270",1,1,"diazy001",11,51
"LAN202010270",1,9,"philb002",12,51
"LAN202010270",1,0,"loupa001",1,51
"LAN202010270",1,8,"polla001",7,54
"LAN202010270",0,8,"pedej001",11,56
"LAN202010270",0,7,"taylc001",4,56
"LAN202010270",0,3,"turnj001",5,56
"LAN202010270",0,3,"meada001",10,57
"LAN202010270",1,0,"fairp001",1,62
"LAN202010270",0,6,"wendj002",5,64
